,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1_score
0,2.2720730304718018,0.5202925205230713,0.970074812967581,0.970074812967581,0.970074812967581,0.970074812967581
1,2.254054069519043,0.4507110118865967,0.9800498753117207,0.9800498753117207,0.9800498753117207,0.9800498753117207
2,2.5254790782928467,0.5554525852203369,0.9625935162094763,0.9625935162094763,0.9625935162094763,0.9625935162094763
3,1.864635944366455,0.40077877044677734,0.9675,0.9675,0.9675,0.9675
4,2.2414445877075195,0.41564202308654785,0.955,0.955,0.955,0.955
5,2.475745916366577,0.4543914794921875,0.975,0.975,0.975,0.975
6,2.304180145263672,0.5717422962188721,0.9825,0.9825,0.9825,0.9825
7,2.259714365005493,0.4455118179321289,0.9699248120300752,0.9699248120300752,0.9699248120300752,0.9699248120300752
8,2.2263729572296143,0.5408117771148682,0.9724310776942355,0.9724310776942355,0.9724310776942355,0.9724310776942355
9,2.5532970428466797,0.5902595520019531,0.974937343358396,0.974937343358396,0.974937343358396,0.974937343358396
