,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,mean_train_recall,std_train_recall,split0_test_f1_score,split1_test_f1_score,split2_test_f1_score,split3_test_f1_score,mean_test_f1_score,std_test_f1_score,rank_test_f1_score,split0_train_f1_score,split1_train_f1_score,split2_train_f1_score,split3_train_f1_score,mean_train_f1_score,std_train_f1_score
70,0.017751097679138184,0.0038494147902247257,0.007753551006317139,0.00043735074123379394,5,410,"{'max_depth': 5, 'min_samples_split': 410}",0.9430569430569431,0.942,0.943,0.934934934934935,0.94075,0.0033813264772672626,47,0.944648216072024,0.9446666666666667,0.9473333333333334,0.9416861046317894,0.9445835801759533,0.001997973230523223,0.9430569430569431,0.942,0.943,0.934934934934935,0.94075,0.0033813264772672626,47,0.944648216072024,0.9446666666666667,0.9473333333333334,0.9416861046317894,0.9445835801759533,0.001997973230523223,0.9430569430569431,0.942,0.943,0.934934934934935,0.94075,0.0033813264772672626,47,0.944648216072024,0.9446666666666667,0.9473333333333334,0.9416861046317894,0.9445835801759533,0.001997973230523223,0.9430569430569431,0.942,0.943,0.934934934934935,0.94075,0.0033813264772672626,47,0.9446482160720241,0.9446666666666667,0.9473333333333334,0.9416861046317894,0.9445835801759533,0.001997973230523224
71,0.015249907970428467,0.00042771221173903664,0.007123887538909912,0.0005386015377865725,5,430,"{'max_depth': 5, 'min_samples_split': 430}",0.9430569430569431,0.942,0.944,0.934934934934935,0.941,0.0035701356761149313,13,0.944648216072024,0.9446666666666667,0.945,0.9416861046317894,0.94400024684262,0.0013433856530959416,0.9430569430569431,0.942,0.944,0.934934934934935,0.941,0.0035701356761149313,13,0.944648216072024,0.9446666666666667,0.945,0.9416861046317894,0.94400024684262,0.0013433856530959416,0.9430569430569431,0.942,0.944,0.934934934934935,0.941,0.0035701356761149313,13,0.944648216072024,0.9446666666666667,0.945,0.9416861046317894,0.94400024684262,0.0013433856530959416,0.9430569430569431,0.942,0.944,0.934934934934935,0.941,0.0035701356761149313,13,0.9446482160720241,0.9446666666666667,0.945,0.9416861046317894,0.94400024684262,0.0013433856530959548
72,0.013998687267303467,0.0007065028507287793,0.008376359939575195,0.00041540621509742685,5,450,"{'max_depth': 5, 'min_samples_split': 450}",0.9430569430569431,0.942,0.944,0.934934934934935,0.941,0.0035701356761149313,13,0.944648216072024,0.9446666666666667,0.945,0.9416861046317894,0.94400024684262,0.0013433856530959416,0.9430569430569431,0.942,0.944,0.934934934934935,0.941,0.0035701356761149313,13,0.944648216072024,0.9446666666666667,0.945,0.9416861046317894,0.94400024684262,0.0013433856530959416,0.9430569430569431,0.942,0.944,0.934934934934935,0.941,0.0035701356761149313,13,0.944648216072024,0.9446666666666667,0.945,0.9416861046317894,0.94400024684262,0.0013433856530959416,0.9430569430569431,0.942,0.944,0.934934934934935,0.941,0.0035701356761149313,13,0.9446482160720241,0.9446666666666667,0.945,0.9416861046317894,0.94400024684262,0.0013433856530959548
73,0.014748454093933105,0.0019328441170192111,0.007752776145935059,0.0008305286563756255,5,470,"{'max_depth': 5, 'min_samples_split': 470}",0.9430569430569431,0.942,0.944,0.934934934934935,0.941,0.0035701356761149313,13,0.944648216072024,0.9446666666666667,0.945,0.9416861046317894,0.94400024684262,0.0013433856530959416,0.9430569430569431,0.942,0.944,0.934934934934935,0.941,0.0035701356761149313,13,0.944648216072024,0.9446666666666667,0.945,0.9416861046317894,0.94400024684262,0.0013433856530959416,0.9430569430569431,0.942,0.944,0.934934934934935,0.941,0.0035701356761149313,13,0.944648216072024,0.9446666666666667,0.945,0.9416861046317894,0.94400024684262,0.0013433856530959416,0.9430569430569431,0.942,0.944,0.934934934934935,0.941,0.0035701356761149313,13,0.9446482160720241,0.9446666666666667,0.945,0.9416861046317894,0.94400024684262,0.0013433856530959548
74,0.017253339290618896,0.0057627615851140405,0.0072533488273620605,0.0004292190811173824,5,490,"{'max_depth': 5, 'min_samples_split': 490}",0.9430569430569431,0.942,0.944,0.934934934934935,0.941,0.0035701356761149313,13,0.944648216072024,0.9446666666666667,0.945,0.9416861046317894,0.94400024684262,0.0013433856530959416,0.9430569430569431,0.942,0.944,0.934934934934935,0.941,0.0035701356761149313,13,0.944648216072024,0.9446666666666667,0.945,0.9416861046317894,0.94400024684262,0.0013433856530959416,0.9430569430569431,0.942,0.944,0.934934934934935,0.941,0.0035701356761149313,13,0.944648216072024,0.9446666666666667,0.945,0.9416861046317894,0.94400024684262,0.0013433856530959416,0.9430569430569431,0.942,0.944,0.934934934934935,0.941,0.0035701356761149313,13,0.9446482160720241,0.9446666666666667,0.945,0.9416861046317894,0.94400024684262,0.0013433856530959548
75,0.018746793270111084,0.0004380627015894509,0.010002434253692627,0.003531053017085085,7,10,"{'max_depth': 7, 'min_samples_split': 10}",0.9430569430569431,0.94,0.942,0.9359359359359359,0.94025,0.002720493790396604,95,0.9669889963321107,0.9646666666666667,0.9626666666666667,0.9646784405198268,0.9647501925463178,0.0015301509246095244,0.9430569430569431,0.94,0.942,0.9359359359359359,0.94025,0.002720493790396604,95,0.9669889963321107,0.9646666666666667,0.9626666666666667,0.9646784405198268,0.9647501925463178,0.0015301509246095244,0.9430569430569431,0.94,0.942,0.9359359359359359,0.94025,0.002720493790396604,95,0.9669889963321107,0.9646666666666667,0.9626666666666667,0.9646784405198268,0.9647501925463178,0.0015301509246095244,0.9430569430569431,0.94,0.942,0.9359359359359359,0.94025,0.002720493790396604,95,0.9669889963321107,0.9646666666666667,0.9626666666666667,0.9646784405198268,0.9647501925463178,0.0015301509246095244
76,0.01800459623336792,0.0014250143085347662,0.008494734764099121,0.0011169935430480438,7,30,"{'max_depth': 7, 'min_samples_split': 30}",0.9460539460539461,0.941,0.941,0.938938938938939,0.94175,0.0026249589430902606,6,0.9549849949983328,0.9563333333333334,0.9576666666666667,0.9583472175941353,0.9568330531481171,0.0012896360228923113,0.9460539460539461,0.941,0.941,0.938938938938939,0.94175,0.0026249589430902606,6,0.9549849949983328,0.9563333333333334,0.9576666666666667,0.9583472175941353,0.9568330531481171,0.0012896360228923113,0.9460539460539461,0.941,0.941,0.938938938938939,0.94175,0.0026249589430902606,6,0.9549849949983328,0.9563333333333334,0.9576666666666667,0.9583472175941353,0.9568330531481171,0.0012896360228923113,0.9460539460539461,0.941,0.941,0.938938938938939,0.94175,0.0026249589430902606,6,0.9549849949983328,0.9563333333333334,0.9576666666666667,0.9583472175941353,0.9568330531481171,0.0012896360228923113
77,0.021618127822875977,0.005009510405418936,0.008872628211975098,0.0024047971852910214,7,50,"{'max_depth': 7, 'min_samples_split': 50}",0.9430569430569431,0.942,0.941,0.938938938938939,0.94125,0.0015189610329901795,7,0.952650883627876,0.9506666666666667,0.9526666666666667,0.9560146617794069,0.9529997196851541,0.0019213031467438652,0.9430569430569431,0.942,0.941,0.938938938938939,0.94125,0.0015189610329901795,7,0.952650883627876,0.9506666666666667,0.9526666666666667,0.9560146617794069,0.9529997196851541,0.0019213031467438652,0.9430569430569431,0.942,0.941,0.938938938938939,0.94125,0.0015189610329901795,7,0.952650883627876,0.9506666666666667,0.9526666666666667,0.9560146617794069,0.9529997196851541,0.0019213031467438652,0.9430569430569431,0.942,0.941,0.938938938938939,0.94125,0.0015189610329901795,7,0.952650883627876,0.9506666666666667,0.9526666666666667,0.9560146617794069,0.9529997196851541,0.0019213031467438652
78,0.01726144552230835,0.0010977065111200507,0.009752392768859863,0.003043533361390773,7,70,"{'max_depth': 7, 'min_samples_split': 70}",0.9430569430569431,0.939,0.942,0.938938938938939,0.94075,0.0018185825853511968,47,0.9496498832944315,0.947,0.9523333333333334,0.9550149950016661,0.9509995529073577,0.0029883430593001647,0.9430569430569431,0.939,0.942,0.938938938938939,0.94075,0.0018185825853511968,47,0.9496498832944315,0.947,0.9523333333333334,0.9550149950016661,0.9509995529073577,0.0029883430593001647,0.9430569430569431,0.939,0.942,0.938938938938939,0.94075,0.0018185825853511968,47,0.9496498832944315,0.947,0.9523333333333334,0.9550149950016661,0.9509995529073577,0.0029883430593001647,0.9430569430569431,0.939,0.942,0.938938938938939,0.94075,0.0018185825853511968,47,0.9496498832944315,0.9469999999999998,0.9523333333333334,0.9550149950016661,0.9509995529073577,0.0029883430593002015
79,0.017005443572998047,0.0014236046828101298,0.0074961185455322266,0.0005003215728670351,7,90,"{'max_depth': 7, 'min_samples_split': 90}",0.9430569430569431,0.938,0.941,0.9409409409409409,0.94075,0.0018019940509565163,47,0.9479826608869624,0.947,0.951,0.9506831056314562,0.9491664416296046,0.0017144249891212794,0.9430569430569431,0.938,0.941,0.9409409409409409,0.94075,0.0018019940509565163,47,0.9479826608869624,0.947,0.951,0.9506831056314562,0.9491664416296046,0.0017144249891212794,0.9430569430569431,0.938,0.941,0.9409409409409409,0.94075,0.0018019940509565163,47,0.9479826608869624,0.947,0.951,0.9506831056314562,0.9491664416296046,0.0017144249891212794,0.9430569430569431,0.938,0.941,0.9409409409409409,0.94075,0.0018019940509565163,47,0.9479826608869624,0.9469999999999998,0.951,0.9506831056314562,0.9491664416296046,0.0017144249891213144
