,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,mean_train_recall,std_train_recall,split0_test_f1_score,split1_test_f1_score,split2_test_f1_score,split3_test_f1_score,mean_test_f1_score,std_test_f1_score,rank_test_f1_score,split0_train_f1_score,split1_train_f1_score,split2_train_f1_score,split3_train_f1_score,mean_train_f1_score,std_train_f1_score
0,1.3664724230766296,0.12016697083407242,0.008511602878570557,0.0005022093504922392,0.001,4,constant,sgd,"{'alpha': 0.001, 'hidden_layer_sizes': 4, 'learning_rate': 'constant', 'solver': 'sgd'}",0.8911088911088911,0.891,0.891,0.8918918918918919,0.89125,0.0003730096535429003,228,0.891297099033011,0.8913333333333333,0.8913333333333333,0.8910363212262579,0.8912500217314838,0.0001242636554451533,0.8911088911088911,0.891,0.891,0.8918918918918919,0.89125,0.0003730096535429003,228,0.891297099033011,0.8913333333333333,0.8913333333333333,0.8910363212262579,0.8912500217314838,0.0001242636554451533,0.8911088911088911,0.891,0.891,0.8918918918918919,0.89125,0.0003730096535429003,228,0.891297099033011,0.8913333333333333,0.8913333333333333,0.8910363212262579,0.8912500217314838,0.0001242636554451533,0.8911088911088911,0.891,0.891,0.8918918918918919,0.89125,0.0003730096535429003,228,0.891297099033011,0.8913333333333332,0.8913333333333332,0.8910363212262579,0.8912500217314838,0.00012426365544511612
1,2.030623137950897,0.12061117129282244,0.009491920471191406,0.0004970036723546415,0.001,4,constant,adam,"{'alpha': 0.001, 'hidden_layer_sizes': 4, 'learning_rate': 'constant', 'solver': 'adam'}",0.9230769230769231,0.921,0.891,0.8998998998998999,0.90875,0.013682442518488196,165,0.9246415471823941,0.9263333333333333,0.8906666666666667,0.9046984338553815,0.9115849952594439,0.014773187055826451,0.9230769230769231,0.921,0.891,0.8998998998998999,0.90875,0.013682442518488196,165,0.9246415471823941,0.9263333333333333,0.8906666666666667,0.9046984338553815,0.9115849952594439,0.014773187055826451,0.9230769230769231,0.921,0.891,0.8998998998998999,0.90875,0.013682442518488196,165,0.9246415471823941,0.9263333333333333,0.8906666666666667,0.9046984338553815,0.9115849952594439,0.014773187055826451,0.9230769230769231,0.9209999999999999,0.891,0.8998998998998999,0.90875,0.01368244251848817,165,0.9246415471823941,0.9263333333333333,0.8906666666666667,0.9046984338553815,0.9115849952594439,0.014773187055826451
2,1.5612101554870605,0.10967626985923042,0.008494913578033447,0.0005003814543903124,0.001,4,adaptive,sgd,"{'alpha': 0.001, 'hidden_layer_sizes': 4, 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.8911088911088911,0.891,0.891,0.8918918918918919,0.89125,0.0003730096535429003,228,0.891297099033011,0.8913333333333333,0.8913333333333333,0.8910363212262579,0.8912500217314838,0.0001242636554451533,0.8911088911088911,0.891,0.891,0.8918918918918919,0.89125,0.0003730096535429003,228,0.891297099033011,0.8913333333333333,0.8913333333333333,0.8910363212262579,0.8912500217314838,0.0001242636554451533,0.8911088911088911,0.891,0.891,0.8918918918918919,0.89125,0.0003730096535429003,228,0.891297099033011,0.8913333333333333,0.8913333333333333,0.8910363212262579,0.8912500217314838,0.0001242636554451533,0.8911088911088911,0.891,0.891,0.8918918918918919,0.89125,0.0003730096535429003,228,0.891297099033011,0.8913333333333332,0.8913333333333332,0.8910363212262579,0.8912500217314838,0.00012426365544511612
3,1.9029863476753235,0.04000155035226432,0.00925368070602417,0.0010872220174261364,0.001,4,adaptive,adam,"{'alpha': 0.001, 'hidden_layer_sizes': 4, 'learning_rate': 'adaptive', 'solver': 'adam'}",0.8971028971028971,0.892,0.946,0.9019019019019019,0.90925,0.02150444844686331,164,0.8962987662554185,0.8953333333333333,0.94,0.9036987670776407,0.9088327166665982,0.01828312235406497,0.8971028971028971,0.892,0.946,0.9019019019019019,0.90925,0.02150444844686331,164,0.8962987662554185,0.8953333333333333,0.94,0.9036987670776407,0.9088327166665982,0.01828312235406497,0.8971028971028971,0.892,0.946,0.9019019019019019,0.90925,0.02150444844686331,164,0.8962987662554185,0.8953333333333333,0.94,0.9036987670776407,0.9088327166665982,0.01828312235406497,0.8971028971028971,0.892,0.946,0.9019019019019019,0.90925,0.02150444844686331,164,0.8962987662554185,0.8953333333333333,0.94,0.9036987670776406,0.9088327166665982,0.018283122354064978
4,1.6998521089553833,0.07529725245253832,0.009252965450286865,0.00042846980794837715,0.001,7,constant,sgd,"{'alpha': 0.001, 'hidden_layer_sizes': 7, 'learning_rate': 'constant', 'solver': 'sgd'}",0.8911088911088911,0.891,0.891,0.8918918918918919,0.89125,0.0003730096535429003,228,0.891297099033011,0.8913333333333333,0.8913333333333333,0.8907030989670109,0.8911667161666721,0.0002680779551309777,0.8911088911088911,0.891,0.891,0.8918918918918919,0.89125,0.0003730096535429003,228,0.891297099033011,0.8913333333333333,0.8913333333333333,0.8907030989670109,0.8911667161666721,0.0002680779551309777,0.8911088911088911,0.891,0.891,0.8918918918918919,0.89125,0.0003730096535429003,228,0.891297099033011,0.8913333333333333,0.8913333333333333,0.8907030989670109,0.8911667161666721,0.0002680779551309777,0.8911088911088911,0.891,0.891,0.8918918918918919,0.89125,0.0003730096535429003,228,0.891297099033011,0.8913333333333332,0.8913333333333332,0.8907030989670109,0.8911667161666721,0.00026807795513094317
5,2.065009355545044,0.1717156024722282,0.00899505615234375,0.0007068026646070661,0.001,7,constant,adam,"{'alpha': 0.001, 'hidden_layer_sizes': 7, 'learning_rate': 'constant', 'solver': 'adam'}",0.903096903096903,0.94,0.93,0.9409409409409409,0.9285,0.015289578837274146,148,0.9039679893297766,0.9423333333333334,0.9283333333333333,0.9430189936687771,0.929413412416305,0.015816702600398337,0.903096903096903,0.94,0.93,0.9409409409409409,0.9285,0.015289578837274146,148,0.9039679893297766,0.9423333333333334,0.9283333333333333,0.9430189936687771,0.929413412416305,0.015816702600398337,0.903096903096903,0.94,0.93,0.9409409409409409,0.9285,0.015289578837274146,148,0.9039679893297766,0.9423333333333334,0.9283333333333333,0.9430189936687771,0.929413412416305,0.015816702600398337,0.903096903096903,0.94,0.93,0.9409409409409409,0.9285,0.015289578837274146,148,0.9039679893297766,0.9423333333333334,0.9283333333333333,0.9430189936687771,0.929413412416305,0.015816702600398337
6,1.6437405943870544,0.13434335160479455,0.008994758129119873,0.0007069713399395416,0.001,7,adaptive,sgd,"{'alpha': 0.001, 'hidden_layer_sizes': 7, 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.8911088911088911,0.891,0.891,0.8918918918918919,0.89125,0.0003730096535429003,228,0.891297099033011,0.8913333333333333,0.8913333333333333,0.8910363212262579,0.8912500217314838,0.0001242636554451533,0.8911088911088911,0.891,0.891,0.8918918918918919,0.89125,0.0003730096535429003,228,0.891297099033011,0.8913333333333333,0.8913333333333333,0.8910363212262579,0.8912500217314838,0.0001242636554451533,0.8911088911088911,0.891,0.891,0.8918918918918919,0.89125,0.0003730096535429003,228,0.891297099033011,0.8913333333333333,0.8913333333333333,0.8910363212262579,0.8912500217314838,0.0001242636554451533,0.8911088911088911,0.891,0.891,0.8918918918918919,0.89125,0.0003730096535429003,228,0.891297099033011,0.8913333333333332,0.8913333333333332,0.8910363212262579,0.8912500217314838,0.00012426365544511612
7,1.9049319624900818,0.17041379922986527,0.0094948410987854,0.0004997853800590331,0.001,7,adaptive,adam,"{'alpha': 0.001, 'hidden_layer_sizes': 7, 'learning_rate': 'adaptive', 'solver': 'adam'}",0.939060939060939,0.937,0.95,0.914914914914915,0.93525,0.012730523845417232,138,0.9423141047015672,0.9326666666666666,0.943,0.9213595468177275,0.9348350795464903,0.008787686555967905,0.939060939060939,0.937,0.95,0.914914914914915,0.93525,0.012730523845417232,138,0.9423141047015672,0.9326666666666666,0.943,0.9213595468177275,0.9348350795464903,0.008787686555967905,0.939060939060939,0.937,0.95,0.914914914914915,0.93525,0.012730523845417232,138,0.9423141047015672,0.9326666666666666,0.943,0.9213595468177275,0.9348350795464903,0.008787686555967905,0.939060939060939,0.937,0.9500000000000001,0.914914914914915,0.93525,0.012730523845417263,138,0.9423141047015672,0.9326666666666666,0.943,0.9213595468177275,0.9348350795464903,0.008787686555967905
8,1.6939024329185486,0.1366524229535647,0.0342329740524292,0.037709996437063,0.001,10,constant,sgd,"{'alpha': 0.001, 'hidden_layer_sizes': 10, 'learning_rate': 'constant', 'solver': 'sgd'}",0.8911088911088911,0.891,0.891,0.8928928928928929,0.8915,0.0008048803624342976,223,0.8909636545515172,0.8913333333333333,0.8913333333333333,0.8907030989670109,0.8910833550462987,0.00026641189081184034,0.8911088911088911,0.891,0.891,0.8928928928928929,0.8915,0.0008048803624342976,223,0.8909636545515172,0.8913333333333333,0.8913333333333333,0.8907030989670109,0.8910833550462987,0.00026641189081184034,0.8911088911088911,0.891,0.891,0.8928928928928929,0.8915,0.0008048803624342976,223,0.8909636545515172,0.8913333333333333,0.8913333333333333,0.8907030989670109,0.8910833550462987,0.00026641189081184034,0.8911088911088911,0.891,0.891,0.8928928928928928,0.8915,0.0008048803624342495,223,0.8909636545515172,0.8913333333333332,0.8913333333333332,0.8907030989670109,0.8910833550462987,0.0002664118908117883
9,1.8919153213500977,0.11675233451626556,0.008995354175567627,4.256623046721727e-07,0.001,10,constant,adam,"{'alpha': 0.001, 'hidden_layer_sizes': 10, 'learning_rate': 'constant', 'solver': 'adam'}",0.9400599400599401,0.941,0.93,0.9119119119119119,0.93075,0.01169300376459518,147,0.9456485495165055,0.945,0.933,0.9180273242252582,0.9354189684354409,0.011233445503944796,0.9400599400599401,0.941,0.93,0.9119119119119119,0.93075,0.01169300376459518,147,0.9456485495165055,0.945,0.933,0.9180273242252582,0.9354189684354409,0.011233445503944796,0.9400599400599401,0.941,0.93,0.9119119119119119,0.93075,0.01169300376459518,147,0.9456485495165055,0.945,0.933,0.9180273242252582,0.9354189684354409,0.011233445503944796,0.9400599400599401,0.941,0.93,0.9119119119119119,0.93075,0.01169300376459518,147,0.9456485495165055,0.945,0.933,0.9180273242252582,0.9354189684354409,0.011233445503944796
