,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1_score
0,1.5954627990722656,0.4784245491027832,0.5285359801488834,0.5285359801488834,0.5285359801488834,0.5285359801488834
1,1.599942684173584,0.571098804473877,0.5298507462686567,0.5298507462686567,0.5298507462686567,0.5298507462686567
2,1.7182364463806152,0.5304315090179443,0.5286783042394015,0.5286783042394015,0.5286783042394015,0.5286783042394015
3,1.7663559913635254,0.5223817825317383,0.5325,0.5325,0.5325,0.5325
4,1.6300561428070068,0.4562356472015381,0.5325,0.5325,0.5325,0.5325
5,1.6362864971160889,0.49542903900146484,0.531328320802005,0.531328320802005,0.531328320802005,0.531328320802005
6,1.6915950775146484,0.49120140075683594,0.5338345864661654,0.5338345864661654,0.5338345864661654,0.5338345864661654
7,1.768789291381836,0.5122923851013184,0.531328320802005,0.531328320802005,0.531328320802005,0.531328320802005
8,1.1859533786773682,0.33150291442871094,0.5338345864661654,0.5338345864661654,0.5338345864661654,0.5338345864661654
9,1.169386863708496,0.3273293972015381,0.535175879396985,0.535175879396985,0.535175879396985,0.535175879396985
