,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1_score,split1_test_f1_score,split2_test_f1_score,split3_test_f1_score,mean_test_f1_score,std_test_f1_score,rank_test_f1_score
0,0.0036526918411254883,0.001741653713428805,0.006113886833190918,0.0017782492077219462,1,10,"{'max_depth': 1, 'min_samples_split': 10}",0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226,0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226,0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226,0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226
1,0.0031574368476867676,0.0018385786840170151,0.005639016628265381,0.0014812503895026857,1,30,"{'max_depth': 1, 'min_samples_split': 30}",0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226,0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226,0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226,0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226
2,0.004334926605224609,0.00037029709733008454,0.0060770511627197266,0.0006961319322233735,1,50,"{'max_depth': 1, 'min_samples_split': 50}",0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226,0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226,0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226,0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226
3,0.004145026206970215,0.0002177002186868676,0.005176126956939697,0.001135882916186576,1,70,"{'max_depth': 1, 'min_samples_split': 70}",0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226,0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226,0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226,0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226
4,0.0046294331550598145,0.0010816668939093723,0.00511246919631958,0.00183168912937174,1,90,"{'max_depth': 1, 'min_samples_split': 90}",0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226,0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226,0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226,0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226
5,0.007123827934265137,0.0010887315235734727,0.017950057983398438,0.004197893921862056,1,110,"{'max_depth': 1, 'min_samples_split': 110}",0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226,0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226,0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226,0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226
6,0.006765902042388916,0.0031193717063405764,0.00821453332901001,0.001956865076571737,1,130,"{'max_depth': 1, 'min_samples_split': 130}",0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226,0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226,0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226,0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226
7,0.005780577659606934,0.0014499750296788224,0.0077304840087890625,0.00339302909895741,1,150,"{'max_depth': 1, 'min_samples_split': 150}",0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226,0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226,0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226,0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226
8,0.006099402904510498,0.0015912338751647773,0.008343696594238281,0.003125909204730873,1,170,"{'max_depth': 1, 'min_samples_split': 170}",0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226,0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226,0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226,0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226
9,0.0066634416580200195,0.0019975348098041526,0.013057172298431396,0.0023718355522100395,1,190,"{'max_depth': 1, 'min_samples_split': 190}",0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226,0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226,0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226,0.843313373253493,0.843,0.836,0.8246492985971944,0.83675,0.007565103183245062,226
