,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1_score,split1_test_f1_score,split2_test_f1_score,mean_test_f1_score,std_test_f1_score,rank_test_f1_score
0,0.3281560738881429,0.2683820091896278,0.008161226908365885,0.0013000156057676137,0.001,4,constant,sgd,"{'alpha': 0.001, 'hidden_layer_sizes': 4, 'learning_rate': 'constant', 'solver': 'sgd'}",0.9625468164794008,0.6153846153846154,0.900562851782364,0.82616476121546,0.15117695013293742,252,0.9625468164794008,0.6153846153846154,0.900562851782364,0.82616476121546,0.15117695013293742,252,0.9625468164794008,0.6153846153846154,0.900562851782364,0.82616476121546,0.15117695013293742,252,0.9625468164794008,0.6153846153846154,0.900562851782364,0.82616476121546,0.15117695013293742,252
1,0.9113342761993408,0.050420621380952976,0.008006016413370768,0.0014203385439106324,0.001,4,constant,adam,"{'alpha': 0.001, 'hidden_layer_sizes': 4, 'learning_rate': 'constant', 'solver': 'adam'}",0.9850187265917603,0.9343339587242027,0.9230769230769231,0.9474765361309622,0.02694119845561402,192,0.9850187265917603,0.9343339587242027,0.9230769230769231,0.9474765361309622,0.02694119845561402,192,0.9850187265917603,0.9343339587242027,0.9230769230769231,0.9474765361309622,0.02694119845561402,192,0.9850187265917603,0.9343339587242027,0.9230769230769231,0.9474765361309622,0.02694119845561402,192
2,0.28445998827616376,0.01152397264054339,0.00631562868754069,0.0004712579621498098,0.001,4,adaptive,sgd,"{'alpha': 0.001, 'hidden_layer_sizes': 4, 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.6161048689138576,0.6153846153846154,0.9587242026266416,0.7300712289750383,0.1616823355865388,270,0.6161048689138576,0.6153846153846154,0.9587242026266416,0.7300712289750383,0.1616823355865388,270,0.6161048689138576,0.6153846153846154,0.9587242026266416,0.7300712289750383,0.1616823355865388,270,0.6161048689138576,0.6153846153846154,0.9587242026266416,0.7300712289750383,0.1616823355865388,270
3,0.3738950888315837,0.07853596441532254,0.006649017333984375,0.0009395375520466403,0.001,4,adaptive,adam,"{'alpha': 0.001, 'hidden_layer_sizes': 4, 'learning_rate': 'adaptive', 'solver': 'adam'}",0.9456928838951311,0.8724202626641651,0.9193245778611632,0.9124792414734865,0.030302510657364033,224,0.9456928838951311,0.8724202626641651,0.9193245778611632,0.9124792414734865,0.030302510657364033,224,0.9456928838951311,0.8724202626641651,0.9193245778611632,0.9124792414734865,0.030302510657364033,224,0.9456928838951311,0.8724202626641651,0.9193245778611632,0.9124792414734865,0.030302510657364033,224
4,0.5157869656880697,0.30442650701807905,0.007323741912841797,0.000461793380174287,0.001,7,constant,sgd,"{'alpha': 0.001, 'hidden_layer_sizes': 7, 'learning_rate': 'constant', 'solver': 'sgd'}",0.9606741573033708,0.9606003752345216,0.8686679174484052,0.9299808166620992,0.04335477727186758,208,0.9606741573033708,0.9606003752345216,0.8686679174484052,0.9299808166620992,0.04335477727186758,208,0.9606741573033708,0.9606003752345216,0.8686679174484052,0.9299808166620992,0.04335477727186758,208,0.9606741573033708,0.9606003752345216,0.8686679174484052,0.9299808166620992,0.04335477727186758,208
5,0.5689797401428223,0.3075345054883196,0.00865634282430013,0.001711961950486106,0.001,7,constant,adam,"{'alpha': 0.001, 'hidden_layer_sizes': 7, 'learning_rate': 'constant', 'solver': 'adam'}",0.99812734082397,0.9812382739212008,0.7148217636022514,0.8980624594491408,0.12975406122366195,232,0.99812734082397,0.9812382739212008,0.7148217636022514,0.8980624594491408,0.12975406122366195,232,0.99812734082397,0.9812382739212008,0.7148217636022514,0.8980624594491408,0.12975406122366195,232,0.99812734082397,0.9812382739212008,0.7148217636022512,0.8980624594491408,0.12975406122366198,232
6,0.7255436579386393,0.2761870751431091,0.0076580047607421875,0.0004531632915001238,0.001,7,adaptive,sgd,"{'alpha': 0.001, 'hidden_layer_sizes': 7, 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.9606741573033708,0.9737335834896811,0.9568480300187617,0.9637519236039379,0.007228875572106583,162,0.9606741573033708,0.9737335834896811,0.9568480300187617,0.9637519236039379,0.007228875572106583,162,0.9606741573033708,0.9737335834896811,0.9568480300187617,0.9637519236039379,0.007228875572106583,162,0.9606741573033708,0.9737335834896811,0.9568480300187617,0.9637519236039379,0.007228875572106583,162
7,0.5377123355865479,0.25028057220512256,0.007185697555541992,0.00022626471671934655,0.001,7,adaptive,adam,"{'alpha': 0.001, 'hidden_layer_sizes': 7, 'learning_rate': 'adaptive', 'solver': 'adam'}",0.9831460674157303,0.9831144465290806,0.9624765478424016,0.9762456872624042,0.009736260413037458,123,0.9831460674157303,0.9831144465290806,0.9624765478424016,0.9762456872624042,0.009736260413037458,123,0.9831460674157303,0.9831144465290806,0.9624765478424016,0.9762456872624042,0.009736260413037458,123,0.9831460674157303,0.9831144465290806,0.9624765478424016,0.9762456872624042,0.009736260413037458,123
8,0.3991757233937581,0.3211382533873371,0.006979227066040039,2.685641811780763e-05,0.001,10,constant,sgd,"{'alpha': 0.001, 'hidden_layer_sizes': 10, 'learning_rate': 'constant', 'solver': 'sgd'}",0.8202247191011236,0.9587242026266416,0.9624765478424016,0.9138084898567223,0.06619144776218899,222,0.8202247191011236,0.9587242026266416,0.9624765478424016,0.9138084898567223,0.06619144776218899,222,0.8202247191011236,0.9587242026266416,0.9624765478424016,0.9138084898567223,0.06619144776218899,222,0.8202247191011236,0.9587242026266416,0.9624765478424016,0.9138084898567223,0.06619144776218899,222
9,0.872546911239624,0.1845816616681493,0.007519245147705078,0.0004028197432489775,0.001,10,constant,adam,"{'alpha': 0.001, 'hidden_layer_sizes': 10, 'learning_rate': 'constant', 'solver': 'adam'}",0.9681647940074907,0.9906191369606003,0.9662288930581614,0.9750042746754174,0.011069624241148181,128,0.9681647940074907,0.9906191369606003,0.9662288930581614,0.9750042746754174,0.011069624241148181,128,0.9681647940074907,0.9906191369606003,0.9662288930581614,0.9750042746754174,0.011069624241148181,128,0.9681647940074907,0.9906191369606003,0.9662288930581614,0.9750042746754174,0.011069624241148181,128
10,0.44260891278584796,0.10059374061135622,0.008663813273111979,0.0009464590461298292,0.001,10,adaptive,sgd,"{'alpha': 0.001, 'hidden_layer_sizes': 10, 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.3838951310861423,0.9587242026266416,0.8893058161350844,0.7439750499492894,0.2561872870540103,265,0.3838951310861423,0.9587242026266416,0.8893058161350844,0.7439750499492894,0.2561872870540103,265,0.3838951310861423,0.9587242026266416,0.8893058161350844,0.7439750499492894,0.2561872870540103,265,0.3838951310861423,0.9587242026266416,0.8893058161350844,0.7439750499492894,0.2561872870540103,265
11,0.5372083981831869,0.34616455187724376,0.007015228271484375,2.292375317355086e-05,0.001,10,adaptive,adam,"{'alpha': 0.001, 'hidden_layer_sizes': 10, 'learning_rate': 'adaptive', 'solver': 'adam'}",0.9943820224719101,0.9193245778611632,0.9774859287054409,0.9637308430128382,0.03214868358820697,164,0.9943820224719101,0.9193245778611632,0.9774859287054409,0.9637308430128382,0.03214868358820697,164,0.9943820224719101,0.9193245778611632,0.9774859287054409,0.9637308430128382,0.03214868358820697,164,0.9943820224719101,0.9193245778611632,0.9774859287054409,0.9637308430128382,0.03214868358820697,164
12,0.43842267990112305,0.40328551566544124,0.006819089253743489,0.00023017831793951441,0.001,13,constant,sgd,"{'alpha': 0.001, 'hidden_layer_sizes': 13, 'learning_rate': 'constant', 'solver': 'sgd'}",0.9606741573033708,0.9774859287054409,0.8180112570356473,0.9187237810148196,0.07154447697812598,218,0.9606741573033708,0.9774859287054409,0.8180112570356473,0.9187237810148196,0.07154447697812598,218,0.9606741573033708,0.9774859287054409,0.8180112570356473,0.9187237810148196,0.07154447697812598,218,0.9606741573033708,0.9774859287054409,0.8180112570356473,0.9187237810148196,0.07154447697812598,218
13,1.0279553731282551,0.041500113472933135,0.007330894470214844,0.0004583747497114522,0.001,13,constant,adam,"{'alpha': 0.001, 'hidden_layer_sizes': 13, 'learning_rate': 'constant', 'solver': 'adam'}",0.9906367041198502,0.9943714821763602,0.9831144465290806,0.9893742109417637,0.00468156880112972,35,0.9906367041198502,0.9943714821763602,0.9831144465290806,0.9893742109417637,0.00468156880112972,35,0.9906367041198502,0.9943714821763602,0.9831144465290806,0.9893742109417637,0.00468156880112972,35,0.9906367041198502,0.9943714821763602,0.9831144465290806,0.9893742109417637,0.00468156880112972,35
14,0.7534534136454264,0.2637728195216459,0.0070044199625651045,1.7037987680084684e-05,0.001,13,adaptive,sgd,"{'alpha': 0.001, 'hidden_layer_sizes': 13, 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.8595505617977528,0.8574108818011257,0.9624765478424016,0.8931459971470934,0.049031884200711806,233,0.8595505617977528,0.8574108818011257,0.9624765478424016,0.8931459971470934,0.049031884200711806,233,0.8595505617977528,0.8574108818011257,0.9624765478424016,0.8931459971470934,0.049031884200711806,233,0.8595505617977528,0.8574108818011257,0.9624765478424016,0.8931459971470934,0.049031884200711806,233
15,0.7058330376942953,0.21325459806301664,0.007161935170491536,0.0006326598413507584,0.001,13,adaptive,adam,"{'alpha': 0.001, 'hidden_layer_sizes': 13, 'learning_rate': 'adaptive', 'solver': 'adam'}",0.9588014981273408,0.9943714821763602,0.9812382739212008,0.978137084741634,0.01468602446903108,105,0.9588014981273408,0.9943714821763602,0.9812382739212008,0.978137084741634,0.01468602446903108,105,0.9588014981273408,0.9943714821763602,0.9812382739212008,0.978137084741634,0.01468602446903108,105,0.9588014981273408,0.9943714821763602,0.9812382739212008,0.978137084741634,0.01468602446903108,105
16,0.21579440434773764,0.14744765430956927,0.00766301155090332,0.000928621012380327,0.001,17,constant,sgd,"{'alpha': 0.001, 'hidden_layer_sizes': 17, 'learning_rate': 'constant', 'solver': 'sgd'}",0.9588014981273408,0.975609756097561,0.9568480300187617,0.9637530947478878,0.008421770327883686,161,0.9588014981273408,0.975609756097561,0.9568480300187617,0.9637530947478878,0.008421770327883686,161,0.9588014981273408,0.975609756097561,0.9568480300187617,0.9637530947478878,0.008421770327883686,161,0.9588014981273408,0.975609756097561,0.9568480300187617,0.9637530947478878,0.008421770327883686,161
17,1.0789315700531006,0.031887270958392,0.007326285044352214,0.00046126062832231124,0.001,17,constant,adam,"{'alpha': 0.001, 'hidden_layer_sizes': 17, 'learning_rate': 'constant', 'solver': 'adam'}",0.9943820224719101,0.9887429643527205,0.9737335834896811,0.9856195234381039,0.008714219049386442,71,0.9943820224719101,0.9887429643527205,0.9737335834896811,0.9856195234381039,0.008714219049386442,71,0.9943820224719101,0.9887429643527205,0.9737335834896811,0.9856195234381039,0.008714219049386442,71,0.9943820224719101,0.9887429643527206,0.9737335834896811,0.9856195234381039,0.008714219049386455,71
18,0.3709220886230469,0.004331877402027354,0.007008870442708333,2.060386575192559e-05,0.001,17,adaptive,sgd,"{'alpha': 0.001, 'hidden_layer_sizes': 17, 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.8089887640449438,0.9587242026266416,0.8930581613508443,0.8869237093408099,0.06128294497879438,235,0.8089887640449438,0.9587242026266416,0.8930581613508443,0.8869237093408099,0.06128294497879438,235,0.8089887640449438,0.9587242026266416,0.8930581613508443,0.8869237093408099,0.06128294497879438,235,0.8089887640449437,0.9587242026266416,0.8930581613508443,0.8869237093408099,0.061282944978794426,235
19,1.0498706499735515,0.127337266589724,0.007834037144978842,0.0008696175166937852,0.001,17,adaptive,adam,"{'alpha': 0.001, 'hidden_layer_sizes': 17, 'learning_rate': 'adaptive', 'solver': 'adam'}",0.9962546816479401,0.9906191369606003,0.9849906191369606,0.9906214792485004,0.004598534562049638,23,0.9962546816479401,0.9906191369606003,0.9849906191369606,0.9906214792485004,0.004598534562049638,23,0.9962546816479401,0.9906191369606003,0.9849906191369606,0.9906214792485004,0.004598534562049638,23,0.9962546816479401,0.9906191369606003,0.9849906191369606,0.9906214792485004,0.004598534562049638,23
20,0.43405739466349286,0.5002176923986138,0.007992188135782877,1.8778479887113786e-05,0.001,20,constant,sgd,"{'alpha': 0.001, 'hidden_layer_sizes': 20, 'learning_rate': 'constant', 'solver': 'sgd'}",0.848314606741573,0.9831144465290806,0.900562851782364,0.9106639683510059,0.055493384702649626,227,0.848314606741573,0.9831144465290806,0.900562851782364,0.9106639683510059,0.055493384702649626,227,0.848314606741573,0.9831144465290806,0.900562851782364,0.9106639683510059,0.055493384702649626,227,0.848314606741573,0.9831144465290806,0.900562851782364,0.9106639683510059,0.055493384702649626,227
21,0.7908377647399902,0.35429048166627425,0.007011969884236653,2.1348191227460996e-05,0.001,20,constant,adam,"{'alpha': 0.001, 'hidden_layer_sizes': 20, 'learning_rate': 'constant', 'solver': 'adam'}",0.9943820224719101,0.9831144465290806,0.9906191369606003,0.9893718686538637,0.004683753877578648,36,0.9943820224719101,0.9831144465290806,0.9906191369606003,0.9893718686538637,0.004683753877578648,36,0.9943820224719101,0.9831144465290806,0.9906191369606003,0.9893718686538637,0.004683753877578648,36,0.9943820224719101,0.9831144465290806,0.9906191369606003,0.9893718686538637,0.004683753877578648,36
22,0.5728947321573893,0.2900108410457058,0.007350921630859375,0.00047222293077508207,0.001,20,adaptive,sgd,"{'alpha': 0.001, 'hidden_layer_sizes': 20, 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.9606741573033708,0.7823639774859287,0.9568480300187617,0.8999620549360204,0.0831690674769085,231,0.9606741573033708,0.7823639774859287,0.9568480300187617,0.8999620549360204,0.0831690674769085,231,0.9606741573033708,0.7823639774859287,0.9568480300187617,0.8999620549360204,0.0831690674769085,231,0.9606741573033708,0.7823639774859287,0.9568480300187617,0.8999620549360204,0.0831690674769085,231
23,0.6678792635599772,0.36887164627737595,0.007992744445800781,1.6690435825062604e-05,0.001,20,adaptive,adam,"{'alpha': 0.001, 'hidden_layer_sizes': 20, 'learning_rate': 'adaptive', 'solver': 'adam'}",0.9906367041198502,0.9793621013133208,0.9812382739212008,0.983745693118124,0.0049325132460084995,87,0.9906367041198502,0.9793621013133208,0.9812382739212008,0.983745693118124,0.0049325132460084995,87,0.9906367041198502,0.9793621013133208,0.9812382739212008,0.983745693118124,0.0049325132460084995,87,0.9906367041198502,0.9793621013133208,0.9812382739212008,0.983745693118124,0.0049325132460084995,87
