,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,mean_train_recall,std_train_recall,split0_test_f1_score,split1_test_f1_score,split2_test_f1_score,split3_test_f1_score,mean_test_f1_score,std_test_f1_score,rank_test_f1_score,split0_train_f1_score,split1_train_f1_score,split2_train_f1_score,split3_train_f1_score,mean_train_f1_score,std_train_f1_score
0,0.16990292072296143,0.0036713728613389307,1.0284074544906616,0.14114660101456653,1,{'n_neighbors': 1},0.964035964035964,0.964,0.95,0.9629629629629629,0.96025,0.005933499495990234,1,1.0,1.0,1.0,1.0,1.0,0.0,0.964035964035964,0.964,0.95,0.9629629629629629,0.96025,0.005933499495990234,1,1.0,1.0,1.0,1.0,1.0,0.0,0.964035964035964,0.964,0.95,0.9629629629629629,0.96025,0.005933499495990234,1,1.0,1.0,1.0,1.0,1.0,0.0,0.964035964035964,0.964,0.9500000000000001,0.9629629629629629,0.96025,0.005933499495990186,1,1.0,1.0,1.0,1.0,1.0,0.0
1,0.15216219425201416,0.00819116480441068,1.2883890867233276,0.17485089633237358,6,{'n_neighbors': 6},0.951048951048951,0.943,0.947,0.948948948948949,0.9475,0.0029666901677207025,2,0.9586528842947649,0.9606666666666667,0.9613333333333334,0.9603465511496168,0.9602498588610955,0.0009883474645769094,0.951048951048951,0.943,0.947,0.948948948948949,0.9475,0.0029666901677207025,2,0.9586528842947649,0.9606666666666667,0.9613333333333334,0.9603465511496168,0.9602498588610955,0.0009883474645769094,0.951048951048951,0.943,0.947,0.948948948948949,0.9475,0.0029666901677207025,2,0.9586528842947649,0.9606666666666667,0.9613333333333334,0.9603465511496168,0.9602498588610955,0.0009883474645769094,0.951048951048951,0.943,0.9469999999999998,0.948948948948949,0.9475,0.0029666901677207072,2,0.9586528842947649,0.9606666666666668,0.9613333333333334,0.9603465511496168,0.9602498588610955,0.000988347464576921
2,0.06096446514129639,0.006036517321721498,1.4164233803749084,0.1766332477277939,11,{'n_neighbors': 11},0.9410589410589411,0.939,0.932,0.9459459459459459,0.9395,0.005011022760909086,3,0.9449816605535178,0.9546666666666667,0.947,0.9486837720759747,0.9488330248240398,0.003614091873508869,0.9410589410589411,0.939,0.932,0.9459459459459459,0.9395,0.005011022760909086,3,0.9449816605535178,0.9546666666666667,0.947,0.9486837720759747,0.9488330248240398,0.003614091873508869,0.9410589410589411,0.939,0.932,0.9459459459459459,0.9395,0.005011022760909086,3,0.9449816605535178,0.9546666666666667,0.947,0.9486837720759747,0.9488330248240398,0.003614091873508869,0.9410589410589411,0.939,0.932,0.9459459459459459,0.9395,0.005011022760909086,3,0.9449816605535178,0.9546666666666667,0.9469999999999998,0.9486837720759747,0.9488330248240398,0.0036140918735088827
3,0.058465778827667236,0.002060608989829806,1.3472949862480164,0.14650526506380984,16,{'n_neighbors': 16},0.935064935064935,0.93,0.925,0.93993993993994,0.9325,0.005576352400602559,4,0.9399799933311104,0.941,0.9416666666666667,0.9410196601132955,0.9409165800277681,0.0006036159793299582,0.935064935064935,0.93,0.925,0.93993993993994,0.9325,0.005576352400602559,4,0.9399799933311104,0.941,0.9416666666666667,0.9410196601132955,0.9409165800277681,0.0006036159793299582,0.935064935064935,0.93,0.925,0.93993993993994,0.9325,0.005576352400602559,4,0.9399799933311104,0.941,0.9416666666666667,0.9410196601132955,0.9409165800277681,0.0006036159793299582,0.935064935064935,0.93,0.925,0.93993993993994,0.9325,0.005576352400602559,4,0.9399799933311104,0.941,0.9416666666666667,0.9410196601132955,0.9409165800277681,0.0006036159793299582
4,0.0972522497177124,0.04211912438165825,1.486942708492279,0.06278467842352245,21,{'n_neighbors': 21},0.932067932067932,0.932,0.921,0.938938938938939,0.931,0.006424666219060412,5,0.9349783261087029,0.9376666666666666,0.9373333333333334,0.9336887704098634,0.9359167741296416,0.0016517754941311573,0.932067932067932,0.932,0.921,0.938938938938939,0.931,0.006424666219060412,5,0.9349783261087029,0.9376666666666666,0.9373333333333334,0.9336887704098634,0.9359167741296416,0.0016517754941311573,0.932067932067932,0.932,0.921,0.938938938938939,0.931,0.006424666219060412,5,0.9349783261087029,0.9376666666666666,0.9373333333333334,0.9336887704098634,0.9359167741296416,0.0016517754941311573,0.932067932067932,0.932,0.9209999999999999,0.938938938938939,0.931,0.006424666219060455,5,0.9349783261087029,0.9376666666666666,0.9373333333333334,0.9336887704098634,0.9359167741296416,0.0016517754941311573
5,0.06735366582870483,0.005035137263603567,1.6083334684371948,0.2668858212518183,26,{'n_neighbors': 26},0.9250749250749251,0.932,0.917,0.9369369369369369,0.92775,0.0075017263405430835,6,0.9313104368122708,0.931,0.9336666666666666,0.9276907697434189,0.930916968305589,0.0021290203126959947,0.9250749250749251,0.932,0.917,0.9369369369369369,0.92775,0.0075017263405430835,6,0.9313104368122708,0.931,0.9336666666666666,0.9276907697434189,0.930916968305589,0.0021290203126959947,0.9250749250749251,0.932,0.917,0.9369369369369369,0.92775,0.0075017263405430835,6,0.9313104368122708,0.931,0.9336666666666666,0.9276907697434189,0.930916968305589,0.0021290203126959947,0.9250749250749251,0.932,0.917,0.9369369369369369,0.92775,0.0075017263405430835,6,0.9313104368122708,0.931,0.9336666666666666,0.9276907697434189,0.930916968305589,0.0021290203126959947
6,0.06322276592254639,0.003084070999259142,1.5561290383338928,0.10560560463522704,31,{'n_neighbors': 31},0.919080919080919,0.929,0.909,0.92992992992993,0.92175,0.008501477215026514,7,0.9279759919973325,0.93,0.9263333333333333,0.9223592135954681,0.9266671347315335,0.0028058290275774353,0.919080919080919,0.929,0.909,0.92992992992993,0.92175,0.008501477215026514,7,0.9279759919973325,0.93,0.9263333333333333,0.9223592135954681,0.9266671347315335,0.0028058290275774353,0.919080919080919,0.929,0.909,0.92992992992993,0.92175,0.008501477215026514,7,0.9279759919973325,0.93,0.9263333333333333,0.9223592135954681,0.9266671347315335,0.0028058290275774353,0.919080919080919,0.929,0.909,0.92992992992993,0.92175,0.008501477215026514,7,0.9279759919973325,0.93,0.9263333333333333,0.9223592135954681,0.9266671347315335,0.0028058290275774353
7,0.1286754608154297,0.06265394549450126,2.006377100944519,0.06216491299255801,36,{'n_neighbors': 36},0.9200799200799201,0.916,0.905,0.928928928928929,0.9175,0.008597273399928027,9,0.924974991663888,0.9236666666666666,0.924,0.919026991002999,0.9229171623333884,0.0022968668165069834,0.9200799200799201,0.916,0.905,0.928928928928929,0.9175,0.008597273399928027,9,0.924974991663888,0.9236666666666666,0.924,0.919026991002999,0.9229171623333884,0.0022968668165069834,0.9200799200799201,0.916,0.905,0.928928928928929,0.9175,0.008597273399928027,9,0.924974991663888,0.9236666666666666,0.924,0.919026991002999,0.9229171623333884,0.0022968668165069834,0.9200799200799201,0.916,0.905,0.928928928928929,0.9175,0.008597273399928027,9,0.924974991663888,0.9236666666666666,0.924,0.919026991002999,0.9229171623333884,0.0022968668165069834
8,0.06071352958679199,0.0036958903162880737,1.8370988965034485,0.1627965192588209,41,{'n_neighbors': 41},0.9200799200799201,0.916,0.905,0.9309309309309309,0.918,0.00927863351162442,8,0.9226408802934312,0.9216666666666666,0.9236666666666666,0.9176941019660113,0.9214170788981939,0.002262807231890385,0.9200799200799201,0.916,0.905,0.9309309309309309,0.918,0.00927863351162442,8,0.9226408802934312,0.9216666666666666,0.9236666666666666,0.9176941019660113,0.9214170788981939,0.002262807231890385,0.9200799200799201,0.916,0.905,0.9309309309309309,0.918,0.00927863351162442,8,0.9226408802934312,0.9216666666666666,0.9236666666666666,0.9176941019660113,0.9214170788981939,0.002262807231890385,0.9200799200799201,0.916,0.905,0.9309309309309309,0.918,0.00927863351162442,8,0.9226408802934312,0.9216666666666666,0.9236666666666666,0.9176941019660113,0.9214170788981939,0.002262807231890385
9,0.09169846773147583,0.057293070088888017,1.7915667295455933,0.08615301791291018,46,{'n_neighbors': 46},0.9180819180819181,0.911,0.907,0.9259259259259259,0.9155,0.007207013923328407,10,0.9199733244414805,0.9206666666666666,0.919,0.9123625458180606,0.9180006342315519,0.0033085498525382015,0.9180819180819181,0.911,0.907,0.9259259259259259,0.9155,0.007207013923328407,10,0.9199733244414805,0.9206666666666666,0.919,0.9123625458180606,0.9180006342315519,0.0033085498525382015,0.9180819180819181,0.911,0.907,0.9259259259259259,0.9155,0.007207013923328407,10,0.9199733244414805,0.9206666666666666,0.919,0.9123625458180606,0.9180006342315519,0.0033085498525382015,0.9180819180819181,0.911,0.907,0.9259259259259259,0.9155,0.007207013923328407,10,0.9199733244414805,0.9206666666666665,0.919,0.9123625458180606,0.9180006342315519,0.0033085498525381794
