,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,mean_train_recall,std_train_recall,split0_test_f1_score,split1_test_f1_score,split2_test_f1_score,split3_test_f1_score,mean_test_f1_score,std_test_f1_score,rank_test_f1_score,split0_train_f1_score,split1_train_f1_score,split2_train_f1_score,split3_train_f1_score,mean_train_f1_score,std_train_f1_score
0,0.5978710055351257,0.003029418990787363,0.26060032844543457,0.019716482190604838,1,{'n_neighbors': 1},0.985014985014985,0.98001998001998,0.981,0.9809619238476954,0.98175,0.0019267246345424903,1,1.0,1.0,1.0,1.0,1.0,0.0,0.985014985014985,0.98001998001998,0.981,0.9809619238476954,0.98175,0.0019267246345424903,1,1.0,1.0,1.0,1.0,1.0,0.0,0.985014985014985,0.98001998001998,0.981,0.9809619238476954,0.98175,0.0019267246345424903,1,1.0,1.0,1.0,1.0,1.0,0.0,0.985014985014985,0.98001998001998,0.9810000000000001,0.9809619238476954,0.98175,0.0019267246345424794,1,1.0,1.0,1.0,1.0,1.0,0.0
1,0.5883817076683044,0.0025862780815047487,0.2558484673500061,0.010483477998893565,6,{'n_neighbors': 6},0.984015984015984,0.975024975024975,0.979,0.9729458917835672,0.97775,0.004222878223545145,2,0.9796598866288763,0.9823274424808269,0.982,0.9816788807461693,0.9814165524639681,0.0010398103954491257,0.984015984015984,0.975024975024975,0.979,0.9729458917835672,0.97775,0.004222878223545145,2,0.9796598866288763,0.9823274424808269,0.982,0.9816788807461693,0.9814165524639681,0.0010398103954491257,0.984015984015984,0.975024975024975,0.979,0.9729458917835672,0.97775,0.004222878223545145,2,0.9796598866288763,0.9823274424808269,0.982,0.9816788807461693,0.9814165524639681,0.0010398103954491257,0.984015984015984,0.975024975024975,0.979,0.9729458917835672,0.97775,0.004222878223545145,2,0.9796598866288763,0.9823274424808269,0.982,0.9816788807461693,0.9814165524639681,0.0010398103954491257
2,0.004247605800628662,0.00043253435681711377,0.24335920810699463,0.01784301264359987,11,{'n_neighbors': 11},0.98001998001998,0.967032967032967,0.975,0.9599198396793587,0.9705,0.007660269256660297,3,0.9766588862954318,0.9749916638879627,0.9726666666666667,0.9770153231179214,0.9753331349919957,0.0017185771189010197,0.98001998001998,0.967032967032967,0.975,0.9599198396793587,0.9705,0.007660269256660297,3,0.9766588862954318,0.9749916638879627,0.9726666666666667,0.9770153231179214,0.9753331349919957,0.0017185771189010197,0.98001998001998,0.967032967032967,0.975,0.9599198396793587,0.9705,0.007660269256660297,3,0.9766588862954318,0.9749916638879627,0.9726666666666667,0.9770153231179214,0.9753331349919957,0.0017185771189010197,0.98001998001998,0.967032967032967,0.975,0.9599198396793587,0.9705,0.007660269256660297,3,0.9766588862954318,0.9749916638879627,0.9726666666666667,0.9770153231179214,0.9753331349919957,0.0017185771189010197
3,0.004497170448303223,0.0004999638314353954,0.24410903453826904,0.015278129559583747,16,{'n_neighbors': 16},0.978021978021978,0.967032967032967,0.971,0.9569138276553106,0.96825,0.0076302683807683595,4,0.9696565521840613,0.9716572190730244,0.9696666666666667,0.9733510992671552,0.971082884297727,0.0015422998459001368,0.978021978021978,0.967032967032967,0.971,0.9569138276553106,0.96825,0.0076302683807683595,4,0.9696565521840613,0.9716572190730244,0.9696666666666667,0.9733510992671552,0.971082884297727,0.0015422998459001368,0.978021978021978,0.967032967032967,0.971,0.9569138276553106,0.96825,0.0076302683807683595,4,0.9696565521840613,0.9716572190730244,0.9696666666666667,0.9733510992671552,0.971082884297727,0.0015422998459001368,0.978021978021978,0.967032967032967,0.971,0.9569138276553106,0.96825,0.0076302683807683595,4,0.9696565521840613,0.9716572190730244,0.9696666666666667,0.9733510992671552,0.971082884297727,0.0015422998459001368
4,0.005250751972198486,0.0004246289235417392,0.35922110080718994,0.055141737054769296,21,{'n_neighbors': 21},0.9760239760239761,0.962037962037962,0.971,0.9529058116232465,0.9655,0.00882339038705408,5,0.9679893297765922,0.9689896632210737,0.9676666666666667,0.9726848767488341,0.9693326341032916,0.0019959379871796372,0.9760239760239761,0.962037962037962,0.971,0.9529058116232465,0.9655,0.00882339038705408,5,0.9679893297765922,0.9689896632210737,0.9676666666666667,0.9726848767488341,0.9693326341032916,0.0019959379871796372,0.9760239760239761,0.962037962037962,0.971,0.9529058116232465,0.9655,0.00882339038705408,5,0.9679893297765922,0.9689896632210737,0.9676666666666667,0.9726848767488341,0.9693326341032916,0.0019959379871796372,0.9760239760239761,0.962037962037962,0.971,0.9529058116232465,0.9655,0.00882339038705408,5,0.9679893297765922,0.9689896632210737,0.9676666666666667,0.9726848767488341,0.9693326341032916,0.0019959379871796372
5,0.008272528648376465,0.0044910266683133105,0.36079394817352295,0.02404169095416805,26,{'n_neighbors': 26},0.973026973026973,0.964035964035964,0.97,0.9519038076152304,0.96475,0.0080830727054438,6,0.9629876625541848,0.9673224408136045,0.9663333333333334,0.9713524317121919,0.9669989671033287,0.0029829063781656286,0.973026973026973,0.964035964035964,0.97,0.9519038076152304,0.96475,0.0080830727054438,6,0.9629876625541848,0.9673224408136045,0.9663333333333334,0.9713524317121919,0.9669989671033287,0.0029829063781656286,0.973026973026973,0.964035964035964,0.97,0.9519038076152304,0.96475,0.0080830727054438,6,0.9629876625541848,0.9673224408136045,0.9663333333333334,0.9713524317121919,0.9669989671033287,0.0029829063781656286,0.973026973026973,0.964035964035964,0.97,0.9519038076152304,0.96475,0.0080830727054438,6,0.9629876625541848,0.9673224408136045,0.9663333333333334,0.9713524317121919,0.9669989671033287,0.0029829063781656286
6,0.005995750427246094,0.0007066341576591256,0.3320590853691101,0.007115548083743532,31,{'n_neighbors': 31},0.973026973026973,0.964035964035964,0.966,0.9559118236472945,0.96475,0.00609521907924691,6,0.9643214404801601,0.9656552184061353,0.9663333333333334,0.9693537641572285,0.9664159390942143,0.0018441298911784565,0.973026973026973,0.964035964035964,0.966,0.9559118236472945,0.96475,0.00609521907924691,6,0.9643214404801601,0.9656552184061353,0.9663333333333334,0.9693537641572285,0.9664159390942143,0.0018441298911784565,0.973026973026973,0.964035964035964,0.966,0.9559118236472945,0.96475,0.00609521907924691,6,0.9643214404801601,0.9656552184061353,0.9663333333333334,0.9693537641572285,0.9664159390942143,0.0018441298911784565,0.973026973026973,0.964035964035964,0.966,0.9559118236472945,0.96475,0.00609521907924691,6,0.9643214404801601,0.9656552184061353,0.9663333333333334,0.9693537641572285,0.9664159390942143,0.0018441298911784565
7,0.007245242595672607,0.0012979689562711645,0.35431820154190063,0.007140343850687537,36,{'n_neighbors': 36},0.968031968031968,0.948051948051948,0.962,0.9529058116232465,0.95775,0.007769372207314091,8,0.9616538846282094,0.9556518839613204,0.9643333333333334,0.966688874083944,0.9620819940017018,0.004117689450571673,0.968031968031968,0.948051948051948,0.962,0.9529058116232465,0.95775,0.007769372207314091,8,0.9616538846282094,0.9556518839613204,0.9643333333333334,0.966688874083944,0.9620819940017018,0.004117689450571673,0.968031968031968,0.948051948051948,0.962,0.9529058116232465,0.95775,0.007769372207314091,8,0.9616538846282094,0.9556518839613204,0.9643333333333334,0.966688874083944,0.9620819940017018,0.004117689450571673,0.968031968031968,0.948051948051948,0.962,0.9529058116232465,0.95775,0.007769372207314091,8,0.9616538846282094,0.9556518839613204,0.9643333333333334,0.966688874083944,0.9620819940017018,0.004117689450571673
8,0.005992889404296875,0.0007104321392728387,0.3646429777145386,0.024779240988430744,41,{'n_neighbors': 41},0.967032967032967,0.945054945054945,0.96,0.9498997995991983,0.9555,0.008571757840871833,9,0.9589863287762588,0.9523174391463821,0.9616666666666667,0.9620253164556962,0.9587489377612508,0.0038944938131283344,0.967032967032967,0.945054945054945,0.96,0.9498997995991983,0.9555,0.008571757840871833,9,0.9589863287762588,0.9523174391463821,0.9616666666666667,0.9620253164556962,0.9587489377612508,0.0038944938131283344,0.967032967032967,0.945054945054945,0.96,0.9498997995991983,0.9555,0.008571757840871833,9,0.9589863287762588,0.9523174391463821,0.9616666666666667,0.9620253164556962,0.9587489377612508,0.0038944938131283344,0.967032967032967,0.945054945054945,0.96,0.9498997995991983,0.9555,0.008571757840871833,9,0.9589863287762588,0.9523174391463821,0.9616666666666667,0.9620253164556962,0.9587489377612508,0.0038944938131283344
9,0.0059969425201416016,3.769728732309794e-07,0.4355311393737793,0.06007932147401995,46,{'n_neighbors': 46},0.9530469530469531,0.9440559440559441,0.948,0.9438877755511023,0.94725,0.003731451084987452,10,0.9433144381460487,0.9506502167389129,0.948,0.9503664223850766,0.9480827693175095,0.002938991770800236,0.9530469530469531,0.9440559440559441,0.948,0.9438877755511023,0.94725,0.003731451084987452,10,0.9433144381460487,0.9506502167389129,0.948,0.9503664223850766,0.9480827693175095,0.002938991770800236,0.9530469530469531,0.9440559440559441,0.948,0.9438877755511023,0.94725,0.003731451084987452,10,0.9433144381460487,0.9506502167389129,0.948,0.9503664223850766,0.9480827693175095,0.002938991770800236,0.9530469530469531,0.9440559440559441,0.948,0.9438877755511023,0.94725,0.003731451084987452,10,0.9433144381460487,0.9506502167389129,0.948,0.9503664223850766,0.9480827693175095,0.002938991770800236
