,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1_score
0,0.7120752334594727,0.21188020706176758,0.972568578553616,0.972568578553616,0.972568578553616,0.972568578553616
1,0.7268586158752441,0.220017671585083,0.970074812967581,0.970074812967581,0.970074812967581,0.970074812967581
2,0.7331178188323975,0.21879839897155762,0.9625935162094763,0.9625935162094763,0.9625935162094763,0.9625935162094763
3,0.8061642646789551,0.21256065368652344,0.9625935162094763,0.9625935162094763,0.9625935162094763,0.9625935162094763
4,0.861574649810791,0.18169450759887695,0.9551122194513716,0.9551122194513716,0.9551122194513716,0.9551122194513716
5,0.8765251636505127,0.1913139820098877,0.9874686716791979,0.9874686716791979,0.9874686716791979,0.9874686716791979
6,0.7567121982574463,0.22152447700500488,0.9674185463659147,0.9674185463659147,0.9674185463659147,0.9674185463659147
7,0.8990733623504639,0.167938232421875,0.9624060150375939,0.9624060150375939,0.9624060150375939,0.9624060150375939
8,0.665916919708252,0.13415813446044922,0.974937343358396,0.974937343358396,0.974937343358396,0.974937343358396
9,0.6726596355438232,0.13178110122680664,0.9774436090225563,0.9774436090225563,0.9774436090225563,0.9774436090225563
