,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1_score,split1_test_f1_score,split2_test_f1_score,split3_test_f1_score,mean_test_f1_score,std_test_f1_score,rank_test_f1_score
68,0.00916600227355957,0.0025666202932470776,0.008319258689880371,0.0036612792610145337,5,370,"{'max_depth': 5, 'min_samples_split': 370}",0.9530469530469531,0.95,0.963,0.9469469469469469,0.95325,0.0060281634559171205,145,0.9530469530469531,0.95,0.963,0.9469469469469469,0.95325,0.0060281634559171205,145,0.9530469530469531,0.95,0.963,0.9469469469469469,0.95325,0.0060281634559171205,145,0.9530469530469531,0.9500000000000001,0.963,0.9469469469469469,0.95325,0.006028163455917106,145
69,0.01190805435180664,0.00359043151331778,0.006520569324493408,0.00135001441334144,5,390,"{'max_depth': 5, 'min_samples_split': 390}",0.9530469530469531,0.95,0.963,0.9469469469469469,0.95325,0.0060281634559171205,145,0.9530469530469531,0.95,0.963,0.9469469469469469,0.95325,0.0060281634559171205,145,0.9530469530469531,0.95,0.963,0.9469469469469469,0.95325,0.0060281634559171205,145,0.9530469530469531,0.9500000000000001,0.963,0.9469469469469469,0.95325,0.006028163455917106,145
70,0.01579660177230835,0.001630164673449632,0.013541698455810547,0.0043133988381062315,5,410,"{'max_depth': 5, 'min_samples_split': 410}",0.9530469530469531,0.95,0.963,0.9459459459459459,0.953,0.006299050041715127,169,0.9530469530469531,0.95,0.963,0.9459459459459459,0.953,0.006299050041715127,169,0.9530469530469531,0.95,0.963,0.9459459459459459,0.953,0.006299050041715127,169,0.9530469530469531,0.9500000000000001,0.963,0.9459459459459459,0.953,0.006299050041715114,169
71,0.021576225757598877,0.0025099637579719287,0.014892935752868652,0.0035338811267365162,5,430,"{'max_depth': 5, 'min_samples_split': 430}",0.9530469530469531,0.95,0.963,0.9459459459459459,0.953,0.006299050041715127,169,0.9530469530469531,0.95,0.963,0.9459459459459459,0.953,0.006299050041715127,169,0.9530469530469531,0.95,0.963,0.9459459459459459,0.953,0.006299050041715127,169,0.9530469530469531,0.9500000000000001,0.963,0.9459459459459459,0.953,0.006299050041715114,169
72,0.014704704284667969,0.006448398824376475,0.008665323257446289,0.0012861575051587725,5,450,"{'max_depth': 5, 'min_samples_split': 450}",0.9530469530469531,0.95,0.963,0.9459459459459459,0.953,0.006299050041715127,169,0.9530469530469531,0.95,0.963,0.9459459459459459,0.953,0.006299050041715127,169,0.9530469530469531,0.95,0.963,0.9459459459459459,0.953,0.006299050041715127,169,0.9530469530469531,0.9500000000000001,0.963,0.9459459459459459,0.953,0.006299050041715114,169
73,0.011812984943389893,0.003561948538436752,0.008255839347839355,0.00044730256328756336,5,470,"{'max_depth': 5, 'min_samples_split': 470}",0.9530469530469531,0.95,0.963,0.9469469469469469,0.95325,0.0060281634559171205,145,0.9530469530469531,0.95,0.963,0.9469469469469469,0.95325,0.0060281634559171205,145,0.9530469530469531,0.95,0.963,0.9469469469469469,0.95325,0.0060281634559171205,145,0.9530469530469531,0.9500000000000001,0.963,0.9469469469469469,0.95325,0.006028163455917106,145
74,0.02141028642654419,0.006994177411229808,0.012340903282165527,0.004845176652742981,5,490,"{'max_depth': 5, 'min_samples_split': 490}",0.9530469530469531,0.95,0.963,0.9469469469469469,0.95325,0.0060281634559171205,145,0.9530469530469531,0.95,0.963,0.9469469469469469,0.95325,0.0060281634559171205,145,0.9530469530469531,0.95,0.963,0.9469469469469469,0.95325,0.0060281634559171205,145,0.9530469530469531,0.9500000000000001,0.963,0.9469469469469469,0.95325,0.006028163455917106,145
75,0.024521827697753906,0.003861823946909883,0.021446049213409424,0.00625620147040114,7,10,"{'max_depth': 7, 'min_samples_split': 10}",0.989010989010989,0.988,0.989,0.9819819819819819,0.987,0.0029241855790735,2,0.989010989010989,0.988,0.989,0.9819819819819819,0.987,0.0029241855790735,2,0.989010989010989,0.988,0.989,0.9819819819819819,0.987,0.0029241855790735,2,0.989010989010989,0.988,0.989,0.9819819819819819,0.987,0.0029241855790735,2
76,0.011365652084350586,0.002876926857558182,0.008219897747039795,0.003528525572393181,7,30,"{'max_depth': 7, 'min_samples_split': 30}",0.987012987012987,0.988,0.992,0.9819819819819819,0.98725,0.0035674042788662696,1,0.987012987012987,0.988,0.992,0.9819819819819819,0.98725,0.0035674042788662696,1,0.987012987012987,0.988,0.992,0.9819819819819819,0.98725,0.0035674042788662696,1,0.987012987012987,0.988,0.992,0.9819819819819819,0.98725,0.0035674042788662696,1
77,0.0133439302444458,0.002268556654606576,0.010382533073425293,0.0028314777182250487,7,50,"{'max_depth': 7, 'min_samples_split': 50}",0.985014985014985,0.985,0.992,0.9819819819819819,0.986,0.003677619783893838,10,0.985014985014985,0.985,0.992,0.9819819819819819,0.986,0.003677619783893838,10,0.985014985014985,0.985,0.992,0.9819819819819819,0.986,0.003677619783893838,10,0.985014985014985,0.985,0.992,0.9819819819819819,0.986,0.003677619783893838,10
