,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1_score,split1_test_f1_score,split2_test_f1_score,split3_test_f1_score,mean_test_f1_score,std_test_f1_score,rank_test_f1_score
0,0.10195368528366089,0.015102086305231388,0.015084683895111084,0.010854836115293568,0.001,4,constant,sgd,"{'alpha': 0.001, 'hidden_layer_sizes': 4, 'learning_rate': 'constant', 'solver': 'sgd'}",0.8961038961038961,0.896,0.893,0.8968968968968969,0.8955,0.0014844548506459103,157,0.8961038961038961,0.896,0.893,0.8968968968968969,0.8955,0.0014844548506459103,157,0.8961038961038961,0.896,0.893,0.8968968968968969,0.8955,0.0014844548506459103,157,0.8961038961038962,0.8960000000000001,0.893,0.8968968968968969,0.8955,0.0014844548506459311,157
1,1.4133748412132263,0.563885363080456,0.013058185577392578,0.0048221153224243815,0.001,4,constant,adam,"{'alpha': 0.001, 'hidden_layer_sizes': 4, 'learning_rate': 'constant', 'solver': 'adam'}",0.9090909090909091,0.895,0.896,0.4754754754754755,0.794,0.18386175385570142,277,0.9090909090909091,0.895,0.896,0.4754754754754755,0.794,0.18386175385570142,277,0.9090909090909091,0.895,0.896,0.4754754754754755,0.794,0.18386175385570142,277,0.9090909090909091,0.895,0.8960000000000001,0.4754754754754755,0.794,0.18386175385570142,277
2,1.2388786673545837,0.6103620558085907,0.013055562973022461,0.0027228013691897824,0.001,4,adaptive,sgd,"{'alpha': 0.001, 'hidden_layer_sizes': 4, 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.8971028971028971,0.896,0.896,0.8968968968968969,0.8965,0.0005052766621411554,27,0.8971028971028971,0.896,0.896,0.8968968968968969,0.8965,0.0005052766621411554,27,0.8971028971028971,0.896,0.896,0.8968968968968969,0.8965,0.0005052766621411554,27,0.8971028971028971,0.8960000000000001,0.8960000000000001,0.8968968968968969,0.8965,0.0005052766621411004,27
3,1.886629343032837,0.7113034616912534,0.01265805959701538,0.005428122072689715,0.001,4,adaptive,adam,"{'alpha': 0.001, 'hidden_layer_sizes': 4, 'learning_rate': 'adaptive', 'solver': 'adam'}",0.8961038961038961,0.902,0.894,0.8968968968968969,0.89725,0.0029395758543718947,21,0.8961038961038961,0.902,0.894,0.8968968968968969,0.89725,0.0029395758543718947,21,0.8961038961038961,0.902,0.894,0.8968968968968969,0.89725,0.0029395758543718947,21,0.8961038961038962,0.902,0.894,0.8968968968968969,0.89725,0.0029395758543718834,21
4,1.0255763530731201,0.5245761918598577,0.011686086654663086,0.004718916788355841,0.001,7,constant,sgd,"{'alpha': 0.001, 'hidden_layer_sizes': 7, 'learning_rate': 'constant', 'solver': 'sgd'}",0.8961038961038961,0.896,0.896,0.8968968968968969,0.89625,0.0003756410568697183,33,0.8961038961038961,0.896,0.896,0.8968968968968969,0.89625,0.0003756410568697183,33,0.8961038961038961,0.896,0.896,0.8968968968968969,0.89625,0.0003756410568697183,33,0.8961038961038962,0.8960000000000001,0.8960000000000001,0.8968968968968969,0.8962500000000001,0.00037564105686967056,33
5,1.2943034172058105,0.9720661907661785,0.02250349521636963,0.0060352299410685725,0.001,7,constant,adam,"{'alpha': 0.001, 'hidden_layer_sizes': 7, 'learning_rate': 'constant', 'solver': 'adam'}",0.8411588411588412,0.517,0.893,0.8968968968968969,0.787,0.15743043215605096,281,0.8411588411588412,0.517,0.893,0.8968968968968969,0.787,0.15743043215605096,281,0.8411588411588412,0.517,0.893,0.8968968968968969,0.787,0.15743043215605096,281,0.8411588411588412,0.517,0.893,0.8968968968968969,0.787,0.15743043215605096,281
6,1.2823842763900757,0.7038298264740361,0.01659369468688965,0.0036359569940765664,0.001,7,adaptive,sgd,"{'alpha': 0.001, 'hidden_layer_sizes': 7, 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.8961038961038961,0.896,0.896,0.8968968968968969,0.89625,0.0003756410568697183,33,0.8961038961038961,0.896,0.896,0.8968968968968969,0.89625,0.0003756410568697183,33,0.8961038961038961,0.896,0.896,0.8968968968968969,0.89625,0.0003756410568697183,33,0.8961038961038962,0.8960000000000001,0.8960000000000001,0.8968968968968969,0.8962500000000001,0.00037564105686967056,33
7,2.258856475353241,0.7810153236799183,0.017794132232666016,0.0035965743188484315,0.001,7,adaptive,adam,"{'alpha': 0.001, 'hidden_layer_sizes': 7, 'learning_rate': 'adaptive', 'solver': 'adam'}",0.8961038961038961,0.905,0.623,0.8968968968968969,0.83025,0.11970647896502347,239,0.8961038961038961,0.905,0.623,0.8968968968968969,0.83025,0.11970647896502347,239,0.8961038961038961,0.905,0.623,0.8968968968968969,0.83025,0.11970647896502347,239,0.8961038961038962,0.905,0.623,0.8968968968968969,0.83025,0.11970647896502348,239
8,0.6540027260780334,0.5060220053898294,0.011617839336395264,0.003902679705350865,0.001,10,constant,sgd,"{'alpha': 0.001, 'hidden_layer_sizes': 10, 'learning_rate': 'constant', 'solver': 'sgd'}",0.8961038961038961,0.896,0.892,0.8968968968968969,0.89525,0.0019081682849282882,178,0.8961038961038961,0.896,0.892,0.8968968968968969,0.89525,0.0019081682849282882,178,0.8961038961038961,0.896,0.892,0.8968968968968969,0.89525,0.0019081682849282882,178,0.8961038961038962,0.8960000000000001,0.892,0.8968968968968969,0.89525,0.0019081682849283114,178
9,1.1014541387557983,0.567807155002283,0.015097618103027344,0.005097176075766586,0.001,10,constant,adam,"{'alpha': 0.001, 'hidden_layer_sizes': 10, 'learning_rate': 'constant', 'solver': 'adam'}",0.8931068931068931,0.805,0.894,0.8948948948948949,0.87175,0.038543314834087856,221,0.8931068931068931,0.805,0.894,0.8948948948948949,0.87175,0.038543314834087856,221,0.8931068931068931,0.805,0.894,0.8948948948948949,0.87175,0.038543314834087856,221,0.8931068931068931,0.805,0.894,0.8948948948948949,0.87175,0.038543314834087856,221
