,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1_score,split1_test_f1_score,split2_test_f1_score,mean_test_f1_score,std_test_f1_score,rank_test_f1_score
0,1.6755064328511555,0.855264650978255,0.1305271784464518,0.01082721640673242,0.001,4,constant,sgd,"{'alpha': 0.001, 'hidden_layer_sizes': 4, 'learning_rate': 'constant', 'solver': 'sgd'}",0.8582089552238806,0.5430711610486891,0.35471698113207545,0.58625,0.20774240142532158,232,0.8582089552238806,0.5430711610486891,0.35471698113207545,0.58625,0.20774240142532158,232,0.8582089552238806,0.5430711610486891,0.35471698113207545,0.58625,0.20774240142532158,232,0.8582089552238806,0.5430711610486891,0.35471698113207545,0.58625,0.20774240142532158,232
1,2.5335899194081626,0.9688469016659038,0.13036314646402994,0.007285227904929579,0.001,4,constant,adam,"{'alpha': 0.001, 'hidden_layer_sizes': 4, 'learning_rate': 'constant', 'solver': 'adam'}",0.8694029850746269,0.898876404494382,0.8075471698113208,0.85875,0.03799797594383129,177,0.8694029850746269,0.898876404494382,0.8075471698113208,0.85875,0.03799797594383129,177,0.8694029850746269,0.898876404494382,0.8075471698113208,0.85875,0.03799797594383129,177,0.8694029850746269,0.898876404494382,0.8075471698113208,0.85875,0.03799797594383129,177
2,2.163606325785319,0.8241313516534946,0.12435515721638997,0.0013272637076251882,0.001,4,adaptive,sgd,"{'alpha': 0.001, 'hidden_layer_sizes': 4, 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.5447761194029851,0.00749063670411985,0.8566037735849057,0.46875,0.350392817616917,275,0.5447761194029851,0.00749063670411985,0.8566037735849057,0.46875,0.350392817616917,275,0.5447761194029851,0.00749063670411985,0.8566037735849057,0.46875,0.350392817616917,275,0.5447761194029851,0.00749063670411985,0.8566037735849057,0.46875,0.350392817616917,275
3,3.044320027033488,0.4936105454310556,0.12460581461588542,0.006199121719232772,0.001,4,adaptive,adam,"{'alpha': 0.001, 'hidden_layer_sizes': 4, 'learning_rate': 'adaptive', 'solver': 'adam'}",0.7388059701492538,0.41198501872659177,0.8867924528301887,0.67875,0.19823253568906038,215,0.7388059701492538,0.41198501872659177,0.8867924528301887,0.67875,0.19823253568906038,215,0.7388059701492538,0.41198501872659177,0.8867924528301887,0.67875,0.19823253568906038,215,0.7388059701492538,0.41198501872659177,0.8867924528301887,0.67875,0.19823253568906038,215
4,1.5289254983266194,1.2283626782692814,0.09286864598592122,0.05163386517707177,0.001,7,constant,sgd,"{'alpha': 0.001, 'hidden_layer_sizes': 7, 'learning_rate': 'constant', 'solver': 'sgd'}",0.8507462686567164,0.5430711610486891,0.09056603773584905,0.49625,0.3120052133207305,260,0.8507462686567164,0.5430711610486891,0.09056603773584905,0.49625,0.3120052133207305,260,0.8507462686567164,0.5430711610486891,0.09056603773584905,0.49625,0.3120052133207305,260,0.8507462686567164,0.5430711610486891,0.09056603773584905,0.49625,0.3120052133207305,260
5,2.303645928700765,0.7885569358872201,0.06194488207499186,0.05622106270591203,0.001,7,constant,adam,"{'alpha': 0.001, 'hidden_layer_sizes': 7, 'learning_rate': 'constant', 'solver': 'adam'}",0.8880597014925373,0.9026217228464419,0.879245283018868,0.89,0.009630362442077147,128,0.8880597014925373,0.9026217228464419,0.879245283018868,0.89,0.009630362442077147,128,0.8880597014925373,0.9026217228464419,0.879245283018868,0.89,0.009630362442077147,128,0.8880597014925373,0.902621722846442,0.879245283018868,0.89,0.009630362442077196,128
6,0.583406925201416,0.4495944567736768,0.054851690928141274,0.04572556229787357,0.001,7,adaptive,sgd,"{'alpha': 0.001, 'hidden_layer_sizes': 7, 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.09328358208955224,0.5430711610486891,0.8415094339622642,0.49125,0.3075564209984154,262,0.09328358208955224,0.5430711610486891,0.8415094339622642,0.49125,0.3075564209984154,262,0.09328358208955224,0.5430711610486891,0.8415094339622642,0.49125,0.3075564209984154,262,0.09328358208955224,0.5430711610486891,0.8415094339622642,0.49125,0.3075564209984154,262
7,1.52400008837382,1.5691613562248774,0.05524571736653646,0.05255494306490175,0.001,7,adaptive,adam,"{'alpha': 0.001, 'hidden_layer_sizes': 7, 'learning_rate': 'adaptive', 'solver': 'adam'}",0.7910447761194029,0.8726591760299626,0.7735849056603774,0.8125,0.04317097133306223,192,0.7910447761194029,0.8726591760299626,0.7735849056603774,0.8125,0.04317097133306223,192,0.7910447761194029,0.8726591760299626,0.7735849056603774,0.8125,0.04317097133306223,192,0.7910447761194029,0.8726591760299626,0.7735849056603775,0.8125,0.0431709713330622,192
8,0.23897981643676758,0.09717825407789382,0.09266495704650879,0.053539758713583706,0.001,10,constant,sgd,"{'alpha': 0.001, 'hidden_layer_sizes': 10, 'learning_rate': 'constant', 'solver': 'sgd'}",0.35447761194029853,0.35580524344569286,0.30943396226415093,0.34,0.02151906617773991,300,0.35447761194029853,0.35580524344569286,0.30943396226415093,0.34,0.02151906617773991,300,0.35447761194029853,0.35580524344569286,0.30943396226415093,0.34,0.02151906617773991,300,0.35447761194029853,0.3558052434456929,0.30943396226415093,0.34,0.021519066177739923,300
9,1.8190606435139973,0.7939726671817872,0.0932461420694987,0.05103044004861314,0.001,10,constant,adam,"{'alpha': 0.001, 'hidden_layer_sizes': 10, 'learning_rate': 'constant', 'solver': 'adam'}",0.8544776119402985,0.9400749063670412,0.8867924528301887,0.89375,0.03534032837195416,118,0.8544776119402985,0.9400749063670412,0.8867924528301887,0.89375,0.03534032837195416,118,0.8544776119402985,0.9400749063670412,0.8867924528301887,0.89375,0.03534032837195416,118,0.8544776119402986,0.9400749063670412,0.8867924528301887,0.89375,0.03534032837195412,118
