,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1_score
0,0.28771257400512695,0.13499975204467773,0.89,0.89,0.89,0.89
1,0.3316981792449951,0.13927006721496582,0.89,0.89,0.89,0.89
2,0.23647594451904297,0.08672475814819336,0.89,0.89,0.89,0.89
3,0.23247957229614258,0.08268547058105469,0.89,0.89,0.89,0.89
4,0.22598838806152344,0.08268547058105469,0.89,0.89,0.89,0.89
5,0.31969785690307617,0.15482544898986816,0.89,0.89,0.89,0.89
6,0.24379181861877441,0.10471868515014648,0.89,0.89,0.89,0.89
7,0.336439847946167,0.13209748268127441,0.89,0.89,0.89,0.89
8,0.3711848258972168,0.12471270561218262,0.89,0.89,0.89,0.89
9,0.33614659309387207,0.12193059921264648,0.89,0.89,0.89,0.89
