,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1_score,split1_test_f1_score,split2_test_f1_score,split3_test_f1_score,mean_test_f1_score,std_test_f1_score,rank_test_f1_score
8,0.007993102073669434,7.498823381574894e-06,0.014291167259216309,0.0017445204694850926,1,170,"{'max_depth': 1, 'min_samples_split': 170}",0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226
9,0.010613083839416504,0.005438363443533282,0.017583608627319336,0.005520839529170648,1,190,"{'max_depth': 1, 'min_samples_split': 190}",0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226
10,0.007300257682800293,0.00197473712213806,0.013985812664031982,0.0019930090227951113,1,210,"{'max_depth': 1, 'min_samples_split': 210}",0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226
11,0.008353173732757568,0.0024907818736809536,0.012020289897918701,0.002370262495262643,1,230,"{'max_depth': 1, 'min_samples_split': 230}",0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226
12,0.011928200721740723,0.006191199498263197,0.011984527111053467,1.917565815704514e-06,1,250,"{'max_depth': 1, 'min_samples_split': 250}",0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226
13,0.008024394512176514,6.087717994133053e-05,0.018914401531219482,0.002458014076256984,1,270,"{'max_depth': 1, 'min_samples_split': 270}",0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226
14,0.00961768627166748,0.001710556460340757,0.012586712837219238,0.001462684949375338,1,290,"{'max_depth': 1, 'min_samples_split': 290}",0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226
15,0.008054137229919434,0.0028275688889640633,0.014230847358703613,0.001782623856628288,1,310,"{'max_depth': 1, 'min_samples_split': 310}",0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226
16,0.007112324237823486,0.0024232175689856087,0.014232456684112549,0.003603947486635665,1,330,"{'max_depth': 1, 'min_samples_split': 330}",0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226
17,0.007989108562469482,9.884312124119401e-07,0.014956653118133545,0.0025628194045519245,1,350,"{'max_depth': 1, 'min_samples_split': 350}",0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,226
