,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1_score,split1_test_f1_score,split2_test_f1_score,split3_test_f1_score,mean_test_f1_score,std_test_f1_score,rank_test_f1_score
0,1.2064522504806519,0.6362070859765212,0.021825432777404785,0.01423446030852318,0.001,4,constant,sgd,"{'alpha': 0.001, 'hidden_layer_sizes': 4, 'learning_rate': 'constant', 'solver': 'sgd'}",0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,18,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,18,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,18,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,18
1,1.4703038930892944,0.6173075170405685,0.01576787233352661,0.002187490290289672,0.001,4,constant,adam,"{'alpha': 0.001, 'hidden_layer_sizes': 4, 'learning_rate': 'constant', 'solver': 'adam'}",0.8901098901098901,0.918,0.906,0.5495495495495496,0.816,0.15405081530992845,235,0.8901098901098901,0.918,0.906,0.5495495495495496,0.816,0.15405081530992845,235,0.8901098901098901,0.918,0.906,0.5495495495495496,0.816,0.15405081530992845,235,0.8901098901098901,0.918,0.906,0.5495495495495496,0.816,0.15405081530992845,235
2,1.3266122937202454,0.5351491352842817,0.015691161155700684,0.0018557803338024718,0.001,4,adaptive,sgd,"{'alpha': 0.001, 'hidden_layer_sizes': 4, 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,18,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,18,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,18,0.8901098901098901,0.891,0.891,0.8908908908908909,0.89075,0.00037248516916143544,18
3,2.8009526133537292,0.3587107244795546,0.019921600818634033,0.005905313026149184,0.001,4,adaptive,adam,"{'alpha': 0.001, 'hidden_layer_sizes': 4, 'learning_rate': 'adaptive', 'solver': 'adam'}",0.8891108891108891,0.891,0.891,0.8908908908908909,0.8905,0.000803772602201904,85,0.8891108891108891,0.891,0.891,0.8908908908908909,0.8905,0.000803772602201904,85,0.8891108891108891,0.891,0.891,0.8908908908908909,0.8905,0.000803772602201904,85,0.8891108891108891,0.891,0.891,0.8908908908908909,0.8905,0.000803772602201904,85
4,0.5284247398376465,0.5221869945776765,0.02107250690460205,0.01210468106141817,0.001,7,constant,sgd,"{'alpha': 0.001, 'hidden_layer_sizes': 7, 'learning_rate': 'constant', 'solver': 'sgd'}",0.8901098901098901,0.89,0.89,0.8908908908908909,0.89025,0.0003724851691614137,141,0.8901098901098901,0.89,0.89,0.8908908908908909,0.89025,0.0003724851691614137,141,0.8901098901098901,0.89,0.89,0.8908908908908909,0.89025,0.0003724851691614137,141,0.8901098901098901,0.89,0.89,0.8908908908908909,0.89025,0.0003724851691614137,141
5,1.0551580786705017,0.9249663300629494,0.01442110538482666,0.0025248384706068037,0.001,7,constant,adam,"{'alpha': 0.001, 'hidden_layer_sizes': 7, 'learning_rate': 'constant', 'solver': 'adam'}",0.8901098901098901,0.89,0.581,0.8888888888888888,0.8125,0.13365744032904175,240,0.8901098901098901,0.89,0.581,0.8888888888888888,0.8125,0.13365744032904175,240,0.8901098901098901,0.89,0.581,0.8888888888888888,0.8125,0.13365744032904175,240,0.8901098901098901,0.89,0.581,0.8888888888888888,0.8125,0.13365744032904175,240
6,1.3701598644256592,0.5539574049263623,0.012087583541870117,0.005611519687338865,0.001,7,adaptive,sgd,"{'alpha': 0.001, 'hidden_layer_sizes': 7, 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.8901098901098901,0.89,0.891,0.8908908908908909,0.8905,0.0004486036126082972,85,0.8901098901098901,0.89,0.891,0.8908908908908909,0.8905,0.0004486036126082972,85,0.8901098901098901,0.89,0.891,0.8908908908908909,0.8905,0.0004486036126082972,85,0.8901098901098901,0.89,0.891,0.8908908908908909,0.8905,0.0004486036126082972,85
7,1.537352204322815,0.8938037536141936,0.01647627353668213,0.002040564278294233,0.001,7,adaptive,adam,"{'alpha': 0.001, 'hidden_layer_sizes': 7, 'learning_rate': 'adaptive', 'solver': 'adam'}",0.6353646353646354,0.744,0.891,0.933933933933934,0.801,0.11881210844466616,256,0.6353646353646354,0.744,0.891,0.933933933933934,0.801,0.11881210844466616,256,0.6353646353646354,0.744,0.891,0.933933933933934,0.801,0.11881210844466616,256,0.6353646353646354,0.744,0.891,0.933933933933934,0.801,0.11881210844466616,256
8,0.2730150818824768,0.1944057668201279,0.0103340744972229,0.002673343855530611,0.001,10,constant,sgd,"{'alpha': 0.001, 'hidden_layer_sizes': 10, 'learning_rate': 'constant', 'solver': 'sgd'}",0.8901098901098901,0.89,0.891,0.8908908908908909,0.8905,0.0004486036126082972,85,0.8901098901098901,0.89,0.891,0.8908908908908909,0.8905,0.0004486036126082972,85,0.8901098901098901,0.89,0.891,0.8908908908908909,0.8905,0.0004486036126082972,85,0.8901098901098901,0.89,0.891,0.8908908908908909,0.8905,0.0004486036126082972,85
9,0.80717933177948,0.6723131716273492,0.01731008291244507,0.00513497981598853,0.001,10,constant,adam,"{'alpha': 0.001, 'hidden_layer_sizes': 10, 'learning_rate': 'constant', 'solver': 'adam'}",0.8901098901098901,0.888,0.884,0.8908908908908909,0.88825,0.002671843034544723,190,0.8901098901098901,0.888,0.884,0.8908908908908909,0.88825,0.002671843034544723,190,0.8901098901098901,0.888,0.884,0.8908908908908909,0.88825,0.002671843034544723,190,0.8901098901098901,0.888,0.884,0.8908908908908909,0.88825,0.002671843034544723,190
