,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1_score
0,0.6769180297851562,0.13239169120788574,0.9650872817955112,0.9650872817955112,0.9650872817955112,0.9650872817955112
1,0.7146766185760498,0.13402724266052246,0.9650872817955112,0.9650872817955112,0.9650872817955112,0.9650872817955112
2,0.6362836360931396,0.14188718795776367,0.942643391521197,0.942643391521197,0.942643391521197,0.942643391521197
3,0.669680118560791,0.13023686408996582,0.9525,0.9525,0.9525,0.9525
4,0.6974883079528809,0.1365187168121338,0.96,0.96,0.96,0.96
5,0.7609701156616211,0.1306321620941162,0.9625,0.9625,0.9625,0.9625000000000001
6,0.72161865234375,0.12835931777954102,0.9725,0.9725,0.9725,0.9725
7,0.6756446361541748,0.13775038719177246,0.9724310776942355,0.9724310776942355,0.9724310776942355,0.9724310776942355
8,0.4988415241241455,0.09034872055053711,0.9674185463659147,0.9674185463659147,0.9674185463659147,0.9674185463659147
9,0.47747278213500977,0.09041547775268555,0.9548872180451128,0.9548872180451128,0.9548872180451128,0.9548872180451128
