,SVM,Multi-level Perceptron,Decision Tree,KNN,Random Forest
fit_time,0.3245877504348755,0.5619088411331177,0.023479223251342773,0.02154374122619629,0.6529594421386719
score_time,0.09598672389984131,0.012815713882446289,0.009190559387207031,0.350044846534729,0.12525677680969238
test_accuracy,0.8907514671966699,0.8907501952501953,0.990000496000496,0.9079962032462032,0.9615054797217482
test_precision,0.8907514671966699,0.8907501952501953,0.990000496000496,0.9079962032462032,0.9615054797217482
test_recall,0.8907514671966699,0.8907501952501953,0.990000496000496,0.9079962032462032,0.9615054797217482
test_f1_score,0.8907514671966699,0.8907501952501953,0.990000496000496,0.9079962032462032,0.9615054797217482
