,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1_score
0,0.25742554664611816,0.10695195198059082,0.8902743142144638,0.8902743142144638,0.8902743142144638,0.8902743142144638
1,0.4451322555541992,0.11518144607543945,0.8902743142144638,0.8902743142144638,0.8902743142144638,0.8902743142144638
2,0.3701498508453369,0.15936565399169922,0.8902743142144638,0.8902743142144638,0.8902743142144638,0.8902743142144638
3,0.2834169864654541,0.1044003963470459,0.89,0.89,0.89,0.89
4,0.2712535858154297,0.09270787239074707,0.89,0.89,0.89,0.89
5,0.43180227279663086,0.08514952659606934,0.89,0.89,0.89,0.89
6,0.2719414234161377,0.0967855453491211,0.89,0.89,0.89,0.89
7,0.41962695121765137,0.07494163513183594,0.8922305764411027,0.8922305764411027,0.8922305764411027,0.8922305764411027
8,0.25462865829467773,0.0626974105834961,0.8922305764411027,0.8922305764411027,0.8922305764411027,0.8922305764411027
9,0.24049997329711914,0.061685800552368164,0.8922305764411027,0.8922305764411027,0.8922305764411027,0.8922305764411027
