,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1_score,split1_test_f1_score,split2_test_f1_score,split3_test_f1_score,mean_test_f1_score,std_test_f1_score,rank_test_f1_score
0,0.013850688934326172,0.0018219983615131244,0.4494486451148987,0.02542447422913503,1,{'n_neighbors': 1},0.9650698602794411,0.965034965034965,0.960960960960961,0.9529058116232465,0.961,0.004956825854963065,1,0.9650698602794411,0.965034965034965,0.960960960960961,0.9529058116232465,0.961,0.004956825854963065,1,0.9650698602794411,0.965034965034965,0.960960960960961,0.9529058116232465,0.961,0.004956825854963065,1,0.9650698602794411,0.965034965034965,0.960960960960961,0.9529058116232465,0.961,0.004956825854963065,1
1,0.016232013702392578,0.002343524687202172,0.5185007452964783,0.051186889597581886,6,{'n_neighbors': 6},0.9461077844311377,0.9500499500499501,0.9529529529529529,0.9418837675350702,0.94775,0.0041648779213262176,2,0.9461077844311377,0.9500499500499501,0.9529529529529529,0.9418837675350702,0.94775,0.0041648779213262176,2,0.9461077844311377,0.9500499500499501,0.9529529529529529,0.9418837675350702,0.94775,0.0041648779213262176,2,0.9461077844311377,0.9500499500499501,0.9529529529529529,0.9418837675350702,0.94775,0.0041648779213262176,2
2,0.014155328273773193,0.004306044491082799,0.6182726621627808,0.025822240279030854,11,{'n_neighbors': 11},0.9431137724550899,0.949050949050949,0.944944944944945,0.9408817635270541,0.9445,0.002996687687819408,3,0.9431137724550899,0.949050949050949,0.944944944944945,0.9408817635270541,0.9445,0.002996687687819408,3,0.9431137724550899,0.949050949050949,0.944944944944945,0.9408817635270541,0.9445,0.002996687687819408,3,0.9431137724550899,0.949050949050949,0.944944944944945,0.9408817635270541,0.9445,0.002996687687819408,3
3,0.015575647354125977,0.0036504123945761014,0.6395494937896729,0.0323948230290714,16,{'n_neighbors': 16},0.9341317365269461,0.9430569430569431,0.9409409409409409,0.9298597194388778,0.937,0.005276451429200403,4,0.9341317365269461,0.9430569430569431,0.9409409409409409,0.9298597194388778,0.937,0.005276451429200403,4,0.9341317365269461,0.9430569430569431,0.9409409409409409,0.9298597194388778,0.937,0.005276451429200403,4,0.9341317365269461,0.9430569430569431,0.9409409409409409,0.9298597194388778,0.937,0.005276451429200403,4
4,0.016929030418395996,0.004143250214567916,0.5857437252998352,0.01622283108482515,21,{'n_neighbors': 21},0.9271457085828343,0.935064935064935,0.934934934934935,0.9268537074148296,0.931,0.0040015959996912214,5,0.9271457085828343,0.935064935064935,0.934934934934935,0.9268537074148296,0.931,0.0040015959996912214,5,0.9271457085828343,0.935064935064935,0.934934934934935,0.9268537074148296,0.931,0.0040015959996912214,5,0.9271457085828343,0.935064935064935,0.934934934934935,0.9268537074148296,0.931,0.0040015959996912214,5
5,0.01437520980834961,0.0029047057217481804,0.6164956092834473,0.026954551256994228,26,{'n_neighbors': 26},0.9251497005988024,0.9340659340659341,0.92992992992993,0.9198396793587175,0.92725,0.005312752651537663,6,0.9251497005988024,0.9340659340659341,0.92992992992993,0.9198396793587175,0.92725,0.005312752651537663,6,0.9251497005988024,0.9340659340659341,0.92992992992993,0.9198396793587175,0.92725,0.005312752651537663,6,0.9251497005988024,0.9340659340659341,0.92992992992993,0.9198396793587175,0.92725,0.005312752651537663,6
6,0.0186423659324646,0.00788058077720765,0.7313264012336731,0.06638499085190278,31,{'n_neighbors': 31},0.9231536926147704,0.926073926073926,0.9269269269269269,0.9188376753507014,0.92375,0.0031594212333774766,7,0.9231536926147704,0.926073926073926,0.9269269269269269,0.9188376753507014,0.92375,0.0031594212333774766,7,0.9231536926147704,0.926073926073926,0.9269269269269269,0.9188376753507014,0.92375,0.0031594212333774766,7,0.9231536926147704,0.926073926073926,0.9269269269269269,0.9188376753507014,0.92375,0.0031594212333774766,7
7,0.01944059133529663,0.007579520926993645,0.7650063633918762,0.05258801182652056,36,{'n_neighbors': 36},0.9161676646706587,0.9230769230769231,0.9279279279279279,0.9178356713426854,0.92125,0.004620801603363369,8,0.9161676646706587,0.9230769230769231,0.9279279279279279,0.9178356713426854,0.92125,0.004620801603363369,8,0.9161676646706587,0.9230769230769231,0.9279279279279279,0.9178356713426854,0.92125,0.004620801603363369,8,0.9161676646706587,0.9230769230769231,0.9279279279279279,0.9178356713426854,0.92125,0.004620801603363369,8
8,0.01934671401977539,0.0013629523229361379,0.7452871203422546,0.04204061307744571,41,{'n_neighbors': 41},0.9051896207584831,0.9230769230769231,0.9209209209209209,0.9138276553106213,0.91575,0.006997889709670605,9,0.9051896207584831,0.9230769230769231,0.9209209209209209,0.9138276553106213,0.91575,0.006997889709670605,9,0.9051896207584831,0.9230769230769231,0.9209209209209209,0.9138276553106213,0.91575,0.006997889709670605,9,0.9051896207584831,0.9230769230769231,0.9209209209209209,0.9138276553106213,0.91575,0.006997889709670605,9
9,0.018991172313690186,0.011138616090474557,0.8151990175247192,0.04585703664708492,46,{'n_neighbors': 46},0.9051896207584831,0.9230769230769231,0.91991991991992,0.9148296593186372,0.91575,0.006776767580182918,9,0.9051896207584831,0.9230769230769231,0.91991991991992,0.9148296593186372,0.91575,0.006776767580182918,9,0.9051896207584831,0.9230769230769231,0.91991991991992,0.9148296593186372,0.91575,0.006776767580182918,9,0.9051896207584831,0.9230769230769231,0.91991991991992,0.9148296593186372,0.91575,0.006776767580182918,9
