,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1_score
0,1.2808501720428467,0.39297056198120117,0.5459057071960298,0.5459057071960298,0.5459057071960298,0.5459057071960298
1,1.076913595199585,0.4239990711212158,0.5459057071960298,0.5459057071960298,0.5459057071960298,0.5459057071960298
2,1.2193660736083984,0.40281081199645996,0.5486284289276808,0.5486284289276808,0.5486284289276808,0.5486284289276808
3,1.083894968032837,0.4326043128967285,0.55,0.55,0.55,0.55
4,1.1107256412506104,0.4314546585083008,0.5525,0.5525,0.5525,0.5525
5,1.1912097930908203,0.4028639793395996,0.55,0.55,0.55,0.55
6,1.225123643875122,0.4061729907989502,0.5513784461152882,0.5513784461152882,0.5513784461152882,0.5513784461152882
7,1.0518267154693604,0.4326918125152588,0.5527638190954773,0.5527638190954773,0.5527638190954773,0.5527638190954773
8,0.9917600154876709,0.2948126792907715,0.550251256281407,0.550251256281407,0.550251256281407,0.550251256281407
9,0.9581260681152344,0.29865241050720215,0.550251256281407,0.550251256281407,0.550251256281407,0.550251256281407
