,Multi-level Perceptron,Decision Tree,KNN,Random Forest
fit_time,4.607744753360748,0.021505534648895264,0.011484801769256592,0.29119956493377686
score_time,0.01651853322982788,0.009724676609039307,0.27316755056381226,0.13073498010635376
test_accuracy,0.9490038695155516,0.9822501992530672,0.9609928994746535,0.8717516805114156
test_precision,0.9490038695155516,0.9822501992530672,0.9609928994746535,0.8717516805114156
test_recall,0.9490038695155516,0.9822501992530672,0.9609928994746535,0.8717516805114156
test_f1_score,0.9490038695155516,0.9822501992530672,0.9609928994746535,0.8717516805114156
