,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1_score,split1_test_f1_score,split2_test_f1_score,split3_test_f1_score,mean_test_f1_score,std_test_f1_score,rank_test_f1_score
0,0.014959871768951416,0.0018653406161611011,1.4715628027915955,0.06311990363580082,1,{'n_neighbors': 1},0.9660678642714571,0.97002997002997,0.973973973973974,0.9599198396793587,0.9675,0.005188366876332264,1,0.9660678642714571,0.97002997002997,0.973973973973974,0.9599198396793587,0.9675,0.005188366876332264,1,0.9660678642714571,0.97002997002997,0.973973973973974,0.9599198396793587,0.9675,0.005188366876332264,1,0.9660678642714571,0.97002997002997,0.973973973973974,0.9599198396793587,0.9675,0.005188366876332264,1
1,0.01745295524597168,0.0067091966290958914,1.6463441848754883,0.04116563684013463,6,{'n_neighbors': 6},0.9520958083832335,0.9630369630369631,0.9569569569569569,0.9378757515030061,0.9525,0.009281538435270782,2,0.9520958083832335,0.9630369630369631,0.9569569569569569,0.9378757515030061,0.9525,0.009281538435270782,2,0.9520958083832335,0.9630369630369631,0.9569569569569569,0.9378757515030061,0.9525,0.009281538435270782,2,0.9520958083832335,0.9630369630369631,0.9569569569569569,0.9378757515030061,0.9525,0.009281538435270782,2
2,0.04388171434402466,0.05412739674675692,1.7358549237251282,0.01847756288808594,11,{'n_neighbors': 11},0.9500998003992016,0.958041958041958,0.948948948948949,0.9288577154308617,0.9465,0.010758177706866809,3,0.9500998003992016,0.958041958041958,0.948948948948949,0.9288577154308617,0.9465,0.010758177706866809,3,0.9500998003992016,0.958041958041958,0.948948948948949,0.9288577154308617,0.9465,0.010758177706866809,3,0.9500998003992016,0.958041958041958,0.948948948948949,0.9288577154308617,0.9465,0.010758177706866809,3
3,0.10272401571273804,0.05353147178542635,1.6902271509170532,0.10512589145269807,16,{'n_neighbors': 16},0.9481037924151696,0.957042957042957,0.93993993993994,0.9238476953907816,0.94225,0.012213562087575312,4,0.9481037924151696,0.957042957042957,0.93993993993994,0.9238476953907816,0.94225,0.012213562087575312,4,0.9481037924151696,0.957042957042957,0.93993993993994,0.9238476953907816,0.94225,0.012213562087575312,4,0.9481037924151696,0.957042957042957,0.93993993993994,0.9238476953907816,0.94225,0.012213562087575312,4
4,0.061085402965545654,0.04862620528503321,1.8445639610290527,0.07747965251212541,21,{'n_neighbors': 21},0.9441117764471058,0.951048951048951,0.933933933933934,0.9118236472945892,0.93525,0.014815290378524353,5,0.9441117764471058,0.951048951048951,0.933933933933934,0.9118236472945892,0.93525,0.014815290378524353,5,0.9441117764471058,0.951048951048951,0.933933933933934,0.9118236472945892,0.93525,0.014815290378524353,5,0.9441117764471059,0.951048951048951,0.933933933933934,0.9118236472945892,0.93525,0.014815290378524368,5
5,0.03715026378631592,0.040292885084744046,1.8655077815055847,0.09125890126727289,26,{'n_neighbors': 26},0.9431137724550899,0.942057942057942,0.933933933933934,0.9098196392785571,0.93225,0.01341172207426642,6,0.9431137724550899,0.942057942057942,0.933933933933934,0.9098196392785571,0.93225,0.01341172207426642,6,0.9431137724550899,0.942057942057942,0.933933933933934,0.9098196392785571,0.93225,0.01341172207426642,6,0.9431137724550899,0.942057942057942,0.933933933933934,0.9098196392785571,0.93225,0.01341172207426642,6
6,0.011967122554779053,0.0007055384933278778,1.844565510749817,0.05195921971488848,31,{'n_neighbors': 31},0.937125748502994,0.9410589410589411,0.9269269269269269,0.906813627254509,0.928,0.013259593899313547,7,0.937125748502994,0.9410589410589411,0.9269269269269269,0.906813627254509,0.928,0.013259593899313547,7,0.937125748502994,0.9410589410589411,0.9269269269269269,0.906813627254509,0.928,0.013259593899313547,7,0.937125748502994,0.9410589410589411,0.9269269269269269,0.906813627254509,0.928,0.013259593899313547,7
7,0.01246553659439087,0.0004982352613304646,1.9622731804847717,0.0679676170746681,36,{'n_neighbors': 36},0.9291417165668663,0.932067932067932,0.918918918918919,0.9028056112224448,0.92075,0.011439974017928631,8,0.9291417165668663,0.932067932067932,0.918918918918919,0.9028056112224448,0.92075,0.011439974017928631,8,0.9291417165668663,0.932067932067932,0.918918918918919,0.9028056112224448,0.92075,0.011439974017928631,8,0.9291417165668663,0.932067932067932,0.918918918918919,0.9028056112224448,0.92075,0.011439974017928631,8
8,0.04769480228424072,0.056617609119901983,1.9442816972732544,0.16075785239340332,41,{'n_neighbors': 41},0.9271457085828343,0.926073926073926,0.9179179179179179,0.8997995991983968,0.91775,0.010947757246048318,10,0.9271457085828343,0.926073926073926,0.9179179179179179,0.8997995991983968,0.91775,0.010947757246048318,10,0.9271457085828343,0.926073926073926,0.9179179179179179,0.8997995991983968,0.91775,0.010947757246048318,10,0.9271457085828343,0.926073926073926,0.9179179179179179,0.8997995991983968,0.91775,0.010947757246048318,10
9,0.01100623607635498,0.0009607081674199836,2.195143222808838,0.23268467901688808,46,{'n_neighbors': 46},0.9301397205588823,0.9250749250749251,0.9179179179179179,0.9008016032064128,0.9185,0.01109022309913924,9,0.9301397205588823,0.9250749250749251,0.9179179179179179,0.9008016032064128,0.9185,0.01109022309913924,9,0.9301397205588823,0.9250749250749251,0.9179179179179179,0.9008016032064128,0.9185,0.01109022309913924,9,0.9301397205588823,0.9250749250749251,0.9179179179179179,0.9008016032064128,0.9185,0.01109022309913924,9
