,fit_time,score_time,test_accuracy,train_accuracy,test_precision,train_precision,test_recall,train_recall,test_f1_score,train_f1_score
0,0.5516784191131592,0.15690970420837402,0.8930348258706468,0.896053362979433,0.8930348258706468,0.896053362979433,0.8930348258706468,0.896053362979433,0.8930348258706468,0.896053362979433
1,0.7475686073303223,0.3348085880279541,0.8952618453865336,0.8958043901083634,0.8952618453865336,0.8958043901083634,0.8952618453865336,0.8958043901083634,0.8952618453865336,0.8958043901083634
2,0.6476259231567383,0.3767826557159424,0.8952618453865336,0.8958043901083634,0.8952618453865336,0.8958043901083634,0.8952618453865336,0.8958043901083634,0.8952618453865336,0.8958043901083634
3,0.7485702037811279,0.2488563060760498,0.895,0.8958333333333334,0.895,0.8958333333333334,0.895,0.8958333333333334,0.895,0.8958333333333334
4,0.4297521114349365,0.17789769172668457,0.895,0.8958333333333334,0.895,0.8958333333333334,0.895,0.8958333333333334,0.895,0.8958333333333334
5,0.6876049041748047,0.13891983032226562,0.895,0.8958333333333334,0.895,0.8958333333333334,0.895,0.8958333333333334,0.895,0.8958333333333334
6,0.46872997283935547,0.32781553268432617,0.8972431077694235,0.8955845598444876,0.8972431077694235,0.8955845598444876,0.8972431077694235,0.8955845598444876,0.8972431077694235,0.8955845598444876
7,0.5686719417572021,0.3088240623474121,0.8972431077694235,0.8955845598444876,0.8972431077694235,0.8955845598444876,0.8972431077694235,0.8955845598444876,0.8972431077694235,0.8955845598444876
8,0.6526238918304443,0.4567372798919678,0.8972431077694235,0.8955845598444876,0.8972431077694235,0.8955845598444876,0.8972431077694235,0.8955845598444876,0.8972431077694235,0.8955845598444876
9,0.6836047172546387,0.3388082981109619,0.8972431077694235,0.8955845598444876,0.8972431077694235,0.8955845598444876,0.8972431077694235,0.8955845598444876,0.8972431077694235,0.8955845598444876
