,fit_time,score_time,test_accuracy,train_accuracy,test_precision,train_precision,test_recall,train_recall,test_f1_score,train_f1_score
0,1.66404128074646,0.15691018104553223,0.9751243781094527,0.971372984991662,0.9751243781094527,0.971372984991662,0.9751243781094527,0.971372984991662,0.9751243781094527,0.971372984991662
1,1.7559878826141357,0.15790891647338867,0.970074812967581,0.9713809391497639,0.970074812967581,0.9713809391497639,0.970074812967581,0.9713809391497639,0.970074812967581,0.9713809391497639
2,1.8689239025115967,0.15690875053405762,0.970074812967581,0.97304806890803,0.970074812967581,0.97304806890803,0.970074812967581,0.97304806890803,0.970074812967581,0.97304806890803
3,2.052816152572632,0.6856067180633545,0.97,0.9719444444444445,0.97,0.9719444444444445,0.97,0.9719444444444445,0.97,0.9719444444444445
4,2.1147830486297607,0.6716129779815674,0.975,0.9719444444444445,0.975,0.9719444444444445,0.975,0.9719444444444445,0.975,0.9719444444444445
5,2.1917362213134766,0.7195854187011719,0.965,0.9766666666666667,0.965,0.9766666666666667,0.965,0.9766666666666667,0.965,0.9766666666666667
6,2.1757473945617676,0.6136445999145508,0.9573934837092731,0.9647320188836435,0.9573934837092731,0.9647320188836435,0.9573934837092731,0.9647320188836435,0.9573934837092731,0.9647320188836435
7,2.2377119064331055,0.5876598358154297,0.974937343358396,0.9716745348514302,0.974937343358396,0.9716745348514302,0.974937343358396,0.9716745348514302,0.974937343358396,0.9716745348514302
8,2.087794303894043,0.32980823516845703,0.9774436090225563,0.9694529297417384,0.9774436090225563,0.9694529297417384,0.9774436090225563,0.9694529297417384,0.9774436090225563,0.9694529297417384
9,1.6020753383636475,0.18189549446105957,0.9649122807017544,0.9730630380449875,0.9649122807017544,0.9730630380449875,0.9649122807017544,0.9730630380449875,0.9649122807017544,0.9730630380449875
